CODE,ZONE,STATE,TOWN,PROVIDER,ADDRESS,CAT,PLAN,SPECIALTY
7000062,SOUTH EAST,ABIA,OBINGWA,ALPHA INLAND HOSPITAL,36 GLASS INDUSTRY ROAD,D,ALL PLANS ,GENERAL MEDICINE
40028153,SOUTH EAST,ABIA,UMUAHIA,ANYA EYE CLINIC,"30, OHAFIA STREET,UMUAHIA",D,ALL PLANS,OPTICAL
9010037,SOUTH EAST,ABIA,UMUAHIA,BLOSSOMS WOMEN AND FAMILY SPECIALIST HOSPITAL,"5, JUSTICE OBISIKE CRESCENT, OFF FINBARRS ROAD",A+,MAGNUM,GENERAL MEDICINE
90128177,SOUTH EAST,ABIA,ABA,CARE FOUNDATION HOSPITAL,"15 NWOSU STREET, ABIA EKEOHA SHOPPING PLAZA",D,ALL PLANS ,GENERAL MEDICINE
90128176,SOUTH EAST,ABIA,ABA,CHINWENDU HOSPITAL,44A ABA OWERRI ROAD UMUNGASI ABA,D,ALL PLANS ,GENERAL MEDICINE
90128197,SOUTH EAST,ABIA,ABA,CHRIST THE KING HOSPITAL,"3/4, CHRIST THE KING CLOSE, OFF ABA – OWERRI ROAD",D,ALL PLANS ,GENERAL MEDICINE
90128288,SOUTH EAST,ABIA,UMUAHIA,CHUKWUEBUKA HOSPITAL,"50 SCHOOL ROAD, UMUAHIA",D,ALL PLANS ,GENERAL MEDICINE
36028179,SOUTH EAST,ABIA,ABA,E-CLINIC AND DIAGNOSTICS LTD,"7, FACTORY ROAD BY EZIUKWU JUNCTION, ABA, ABIA STATE",C,PRO & HIGHER,GENERAL MEDICINE
7000252,SOUTH EAST,ABIA,ABA,EKEOMA SPECIALIST HOSPITAL                                 ,15 SCOTLAND CRESCENT OFF CONSTITUTION ROAD,D,ALL PLANS ,GENERAL MEDICINE
90128180,SOUTH EAST,ABIA,ABA,EMBASSY EYE HOSPITAL,59C AHIABA UMUEZE ROAD OPPOSITE ABSUTH GATE,D,ALL PLANS,OPTICAL
