Benefit sub-Categories,CUSTOMISED BH PROMAX PLAN
Provider Network,Category A+B+C+D
TERRITORY,Local In-country + Africa + India
OVERALL LIMIT (Millions),Local In-country + Africa + India
OUT-PATIENT LIMIT (Millions),Unlimited
WELLNESS BENEFITS,"Health Promotion-Support, Track and Reward positive healthy living habits"
"Active rewards Program (improve your health, get rewarded)",Covered
Fitnesss Tracker (Leadway Health APP),Covered
Annual Wellness Screening,Covered
Mental Health preventive Services,Covered
Network Gym services,Covered twice a week
SPA Treatment (1 Voucher PA ),"Covered up to NGN 10,000.00"
"On-site Health Checks , Health Talks/ Webinar. Health Edu Series",
,Covered
,Treatment of conditions that do not require the patient to be admitted in the hospital
DAY TO DAY BENEFITS (Out-Patient),
GP consultations within network,Covered
Specialist consultations within network,Covered
Telemedicine consultations,Covered
Prescribed Medications,Covered
"Laboratory Tests, Ultrasound and X-Rays",Covered
TELEMEDICINE AND TELECONSULTATION,
Instant Telemedicine call with Doctors,Covered
24/7 Emergency response via the Leadway Health APP,Covered
Chats with Doctors and Nurses when in need of any routine medical information,Covered
GPS-enabled access to hospital directories when hospital information is needed,Covered
HOSPITALISATION BENEFITS,"Conditions requiring hospitalization, including specialist consultations, theatre, accommodation, basic radiology, medication and pathology. Subject to pre- authorisation and clinical protocols.Covered, out of overall limits"
Admission,Unlimited (Private ward)
Accommodation for parent whose infant is on admission,7 days
Ambulance Services,Covered
Psychiatric hospitalization,10 days
Outpatient Psychiatry care (12weeks),Covered
MATERNITY,"Baby wellness programme, Ante-natal, Including pre and post-natal care, childbirth by emergency or medically indicated elective C-section (subject to pre- authorization), maternity complications, ultrasound scans, ectopic pregnancies.Limits are per pregnancy."
"Within Leadway Hospital Network (ANC, Maternity and Postcare)",Covered
Out of Network,"ANC + Delivery - NGN 150,000 CS Delivery - NGN 300,000"
Maternity complications*,Covered
Neonatal care (including incubator),"Cover up to NGN 7,500,000"
Reimbursements for delivery abroad,"Vaginal Delivery NGN 200,000/ CS Delivery NGN 350,000"
Family Planning,"Pills, Injectibles, Copper IUCD, Vasectomy, Tubal Ligation (only during CS) and Norplant"
,
Male Circumcision and Ear Piercing,Covered
Congenital anomaly treatment (0 to 7 years),Limit of NGN 1million per annum
,"Only drawn from mother’s benefit within 30 days of baby’s birth or until baby is registered as an enrollee, whichever is"
IMMUNISATIONS,earlier.
"NPI Immunization for 0-5 year: BCG, Measles, DPT, Oral polio, Vitamin A supplementation, Pentavalent vaccine,Yellow Fever Measles, Hepatitis B, HIB",
,Covered
"Additional Immunisations (For ages 0-5 years): Chicken Pox, MMR, Pneumococcal, Meningitis, Typhoid,",Covered
