Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
,Benefit sub-Categories,PRO,PROMAX
,Provider Network,Category C + D,Category A+B+C+D
,TERRITORY,Nigeria + India,Local In-country + Africa + India + UAE
,OVERALL LIMIT (Millions),Unlimited,Unlimited
,OUT-PATIENT LIMIT (Millions),Unlimted,Unlimited
,WELLNESS BENEFITS,"Health Promotion-Support, Track and Reward positive healthy living habits",
,"Active rewards Program (improve your health, get rewarded)",Covered,Covered
,Fitnesss Tracker (Leadway Health APP),Covered,Covered
,Annual Wellness Screening,Covered,Covered
,Mental Health preventive Services,Covered,Covered
,Network Gym services,Covered for 4 session in one Month,Covered for 2 sessions per week
,"On-site Health Checks , Health Talks/ Webinar. Health Edu Series",Covered,Covered
,DAY TO DAY BENEFITS (Out-Patient),Treatment of conditions that do not require the patient to be admitted in the hospital,
,GP consultations within network,Covered,Covered
,Specialist consultations within network,Covered,Covered
,Telemedicine consultations,Covered,Covered
,Prescribed Medications,Covered,Covered
,"Laboratory Tests, Ultrasound and X-Rays",Covered,Covered
,TELEMEDICINE AND TELECONSULTATION,,
,Instant Telemedicine call with Doctors ,Covered,Covered
,24/7 Emergency response via the Leadway Health APP,Covered,Covered
,Chats with Doctors and Nurses when in need of any routine medical information,Covered,Covered
,GPS-enabled access to hospital directories whenhospital information is needed,Covered,Covered
,HOSPITALISATION BENEFITS,"Conditions requiring hospitalization, including specialist consultations, theatre, accommodation, basic radiology, medication and pathology. Subject to pre-authorisation and clinical protocols. Covered, out of overall limits",
,Admission,Unlimited (Semi Private ward) ,Unlimited (Private ward) 
,Accommodation for parent whose infant is on admission,2 days,5 days
,Ambulance Services,Covered,Covered
,Outpatient Psychiatry care (12weeks),Covered,Covered
,MATERNITY,"Baby wellness programme, Ante-natal, Including pre and post-natal care, childbirth by emergency or medically indicated elective C-section (subject to pre-authorization), maternity complications, ultrasound scans, ectopic pregnancies. Limits are per pregnancy. ",
,"Within Leadway Hospital Network (ANC, Maternity and Postcare)",Covered,Covered
,Out of Network,"ANC + Delivery -N100,00
CS Delivery- N200,00","ANC + Delivery -N150,000
CS Delivery- N300,000"
,Maternity complications*,Covered,Covered
,Neonatal care (including incubator),"Covered up to N1,500,000","Covered up to N7,500,000"
,Reimbursements for delivery abroad,Not Covered,"Vaginal Delivery N200,000/ CS Delivery N350,000"
,Family Planning,"Pills, Injectibles, Copper IUCD, tubal ligation (only during CS)  and vasectomy","Pills, Injectibles, Copper IUCD, Vasectomy, Tubal Ligation (only during CS) and Norplant"
,Male Circumcision and Ear Piercing,Covered ,Covered 
,Congenital anomaly treatment (only on children born within the plan),"Limit of N 300,000 per annum",Limit of 1million per annum
,IMMUNISATIONS,"Only drawn from mother’s benefit within 30 days of baby’s birth or until baby is registered as an enrollee, whichever is earlier.",
,"NPI Immunization for 0-5 year: BCG, Measles, DPT, Oral polio, Vitamin A supplementation, Pentavalent vaccine,Yellow Fever Measles, Hepatitis B, HIB ",Covered,Covered
,"Additional Immunisations (For ages 0-5 years): Chickent Pox, MMR, Pneumococcal,  Meningitis, Typhoid, Rotavirus",Not Covered,Covered
,"Addition Immunization (above 6 - 17 years): Yellow Fever, Meningitis, Hepatitis B","Hepatitis B, Yellow Fever",Covered
,BABY WELLNESS PROGRAMME,Covered,Covered
,MAJOR DISEASES,"Cancer treatment (Chemotherapy, medication, surgery), Major Organ Diseases- Kidney Dialysis, Organ transplants, Other major Organ diseases. All drawn from major disease limits, subject to overall limit and pre-authorisation",
,Major Disease limit,"Covered up to NGN 400,000",N 2 Million
,Renal Dialysis,2 Sessions,10 Sessions
,SURGERIES,"This provide cover for minor, intermediate and Major surgeries including the cost of admission, surgeon, nursing, anesthesia, theatre, drugs and other consumables. Covered from the overall limits and subject to preauthorization",
,"Minor, Intermediate, Major Surgeries & Tertiary Surgeries","Covered up to NGN 400,000.00",Covered 
,"Anaesthesia, Surgeon, Admission, Drugs, Surgical supplies/Consumables, administration of blood or blood products, etc",,
,OPHTHALMOLOGICAL,Treatments of the eye,
,"Primary eye care (consultation, examination, simple/primary infection, medications, eye tests)",Unlimited,Unlimited
,Lenses & Frames (Once every two years),"N15,000","N50,000"
,Surgeries subject to pre-authorization and overall limits,Covered up to overall surgery limit,Covered up to overall surgery limit
,ENT,"Ear, Nose & Throat Treatments",
,Treatment of ENT diseases,Covered,Covered
,Surgeries subject to pre-authorisation,Covered up to overall surgery limit,Covered up to overall surgery limit
,DENTISTRY,"Treatments of the teeth, all drawn from out-patient limits",
,Primary (Basic) Dental,"N30,000","N100,000"
,Secondary (Specialised) Dental,,
,DIAGNOSTICS,Medical investigations required to diagnosis condition of patient,
,Pathology (laboratory services),Covered ,Covered 
,Basic Radiology (black & white X rays & abdominal & pelvic ultrasonography),Covered ,Covered 
,Fertility Services (consultation & investigation only),"Counseling, SFA, USS ( covered up to N35,000)","Counseling, USS, SFA, HSG, Hormonal Assay, Hysteroscopy (up to 150,000)"
,"Echochadiogram,Electrocardiogram Rest(ECG), Spirometry, Electroencephalogram",Covered ,Covered 
,"Advanced Investigations-  MRI, CT scan ","Covered for life threatening cases (Emergency) up to N70,000",Covered 
,PHYSIOTHERAPY,Covered and subject to pre-authorisation,
,Physiotherapy sessions,Limit of 10 sessions per annum,Unlimited
,"EXTERNAL MEDICAL DEVICES & APPLIANCES such as crutches, neck collars etc  Limits are per incident. Subject to overall limits and pre-authorisation",Covered ,Covered 
,CHRONIC DISEASES TREATMENT,"Conditions that require continuous treatment for more than 3 months. For example, hypertension, diabetes, HIV, asthma and so on. Treatment and medication covered from chronic conditions limits, subject to out-patient limits where applicable. Subject to pre-authorization",
,Management and treatment  of Chronic illnesses,"Covered up to 400,000",Covered 
,Personal Health equipment for Chronic condition,Not Covered,Glucometer or Sphygmomanometer 
,"COMPREHENSIVE HEALTH CHECKS (Offered as a complimentary benefit). Subject to pre-authorisation:

- Covered annually for PROMAX BLACKCARD only - PAPS SMEAR AND MAMMOGRAM (ONCE IN 2 YEARS)

- Covered once in 3 years for MAX AND PROMAX","Age 22+/All Gender: (Physical, BP, Urinalysis, PCV, Blood Sugar & Cholesterol","Full Blood Count, ESR, VDRL, Urinalysis, Urine MCS, Stool MCS, HIV, Hepatitis B &C screening, Liver Function Test, Fasting Blood Sugar, Uric acid, E/U/Cr, Lipid Profile, Chest X-Ray, Occult blood (Faeces), ECG (Rest), Pap smear (once every 2 years for women Above 30years), Mammogram OR BREAST SCAN (once every 3 years for women above 40 years), PSA (for men above 40 years)"
,EMERGENCY,,
,Evacuation (Home/Hospital/Roadside to Hospital),Covered,Covered
,"Stabilization, Emergency medications and investigations including CT scans and MRI",Covered,Covered
,Intensive Care ward within network,"Covered up to N1,500,000","Covered up to N7,500,000"
,ADDITIONAL BENEFITS,,
,Pharmacy Benefit Management,Covered,Covered
,Discounts at Nutritional Stores,Covered,Covered
,Mortuary fee per Family,"Covered up to 250,000","Covered up to 250,000"
,Online Zumba & Tabatha dance classes,Covered,Covered
,Personal Accident for Principal,Not Covered,"N100,000"
,Vaccination at home (at selected cities),Covered,Covered
,Travel Insurance on Principal,Not Covered,4 Weeks
,HIV/AIDS Diagnosis + treatment (at free specialist centers),Covered,Covered
,Second opinion service by Experts local and abroad,Covered,Covered
,Employee Assistance Programme (EAP),Covered,Covered
,INDIVIDUAL PREMIUM (ANNUAL),84048.87,244870.71
,FAMILY PREMIUM (ANNUAL),378219.01,1101918.21
