Benefit sub-Categories,CUSTOMISED BH PROMAX PLAN,_source_file
Provider Network,Category A+B+C+D,BAKER HUGHES BENEFIT.xlsx
TERRITORY,Local In-country + Africa + India,BAKER HUGHES BENEFIT.xlsx
OVERALL LIMIT (Millions),Local In-country + Africa + India,BAKER HUGHES BENEFIT.xlsx
OUT-PATIENT LIMIT (Millions),Unlimited,BAKER HUGHES BENEFIT.xlsx
WELLNESS BENEFITS,"Health Promotion-Support, Track and Reward positive healthy living habits",BAKER HUGHES BENEFIT.xlsx
"Active rewards Program (improve your health, get rewarded)",Covered,BAKER HUGHES BENEFIT.xlsx
Fitnesss Tracker (Leadway Health APP),Covered,BAKER HUGHES BENEFIT.xlsx
Annual Wellness Screening,Covered,BAKER HUGHES BENEFIT.xlsx
Mental Health preventive Services,Covered,BAKER HUGHES BENEFIT.xlsx
Network Gym services,Covered twice a week,BAKER HUGHES BENEFIT.xlsx
SPA Treatment (1 Voucher PA ),"Covered up to NGN 10,000.00",BAKER HUGHES BENEFIT.xlsx
"On-site Health Checks , Health Talks/ Webinar. Health Edu Series",,BAKER HUGHES BENEFIT.xlsx
,Covered,BAKER HUGHES BENEFIT.xlsx
,Treatment of conditions that do not require the patient to be admitted in the hospital,BAKER HUGHES BENEFIT.xlsx
DAY TO DAY BENEFITS (Out-Patient),,BAKER HUGHES BENEFIT.xlsx
GP consultations within network,Covered,BAKER HUGHES BENEFIT.xlsx
Specialist consultations within network,Covered,BAKER HUGHES BENEFIT.xlsx
Telemedicine consultations,Covered,BAKER HUGHES BENEFIT.xlsx
Prescribed Medications,Covered,BAKER HUGHES BENEFIT.xlsx
"Laboratory Tests, Ultrasound and X-Rays",Covered,BAKER HUGHES BENEFIT.xlsx
TELEMEDICINE AND TELECONSULTATION,,BAKER HUGHES BENEFIT.xlsx
Instant Telemedicine call with Doctors,Covered,BAKER HUGHES BENEFIT.xlsx
24/7 Emergency response via the Leadway Health APP,Covered,BAKER HUGHES BENEFIT.xlsx
Chats with Doctors and Nurses when in need of any routine medical information,Covered,BAKER HUGHES BENEFIT.xlsx
GPS-enabled access to hospital directories when hospital information is needed,Covered,BAKER HUGHES BENEFIT.xlsx
HOSPITALISATION BENEFITS,"Conditions requiring hospitalization, including specialist consultations, theatre, accommodation, basic radiology, medication and pathology. Subject to pre- authorisation and clinical protocols.Covered, out of overall limits",BAKER HUGHES BENEFIT.xlsx
Admission,Unlimited (Private ward),BAKER HUGHES BENEFIT.xlsx
Accommodation for parent whose infant is on admission,7 days,BAKER HUGHES BENEFIT.xlsx
Ambulance Services,Covered,BAKER HUGHES BENEFIT.xlsx
Psychiatric hospitalization,10 days,BAKER HUGHES BENEFIT.xlsx
Outpatient Psychiatry care (12weeks),Covered,BAKER HUGHES BENEFIT.xlsx
MATERNITY,"Baby wellness programme, Ante-natal, Including pre and post-natal care, childbirth by emergency or medically indicated elective C-section (subject to pre- authorization), maternity complications, ultrasound scans, ectopic pregnancies.Limits are per pregnancy.",BAKER HUGHES BENEFIT.xlsx
"Within Leadway Hospital Network (ANC, Maternity and Postcare)",Covered,BAKER HUGHES BENEFIT.xlsx
Out of Network,"ANC + Delivery - NGN 150,000 CS Delivery - NGN 300,000",BAKER HUGHES BENEFIT.xlsx
Maternity complications*,Covered,BAKER HUGHES BENEFIT.xlsx
Neonatal care (including incubator),"Cover up to NGN 7,500,000",BAKER HUGHES BENEFIT.xlsx
Reimbursements for delivery abroad,"Vaginal Delivery NGN 200,000/ CS Delivery NGN 350,000",BAKER HUGHES BENEFIT.xlsx
Family Planning,"Pills, Injectibles, Copper IUCD, Vasectomy, Tubal Ligation (only during CS) and Norplant",BAKER HUGHES BENEFIT.xlsx
,,BAKER HUGHES BENEFIT.xlsx
Male Circumcision and Ear Piercing,Covered,BAKER HUGHES BENEFIT.xlsx
Congenital anomaly treatment (0 to 7 years),Limit of NGN 1million per annum,BAKER HUGHES BENEFIT.xlsx
,"Only drawn from mother’s benefit within 30 days of baby’s birth or until baby is registered as an enrollee, whichever is",BAKER HUGHES BENEFIT.xlsx
IMMUNISATIONS,earlier.,BAKER HUGHES BENEFIT.xlsx
