Unnamed: 0,PLUS,PRO,_source_file
BENEFIT PACKAGE,JUNIOR STAFF,SENIOR STAFF,FLOUR MILLS UPDATED BENEFIT.xlsx
OUT-PATIENT CARE,,,FLOUR MILLS UPDATED BENEFIT.xlsx
Registration,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
General consultation,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Specialist consultation,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Routine laboratory investigations,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
,,,FLOUR MILLS UPDATED BENEFIT.xlsx
IN-PATIENT CARE,,,FLOUR MILLS UPDATED BENEFIT.xlsx
General Practitioner review,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Specialist review,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Admissions,Semi-Private ward,Private ward,FLOUR MILLS UPDATED BENEFIT.xlsx
Feeding,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Nursing care,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
,,,FLOUR MILLS UPDATED BENEFIT.xlsx
INVESTIGATIONS,,,FLOUR MILLS UPDATED BENEFIT.xlsx
"Laboratory Investigations (Haematology,",Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
"Microbiology, Clinical chemistry,
Histopathology)",,,FLOUR MILLS UPDATED BENEFIT.xlsx
"Diagnostic/Radiological Investigations I
(Plain Xrays of all body parts  & Ultrasound Scans (USS)",ALL Covered,ALL Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Diagnostic/Radiological Investigations II,ALL Covered,ALL Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
"CT Scan,  Spirometry, Electrocardiogram
(ECG)",,,FLOUR MILLS UPDATED BENEFIT.xlsx
,,,FLOUR MILLS UPDATED BENEFIT.xlsx
"Diagnostic procedures III MRI,
PROCTOSCOPY",Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
DRUG PRESCRIPTIONS (In-patient & Out- patient),,,FLOUR MILLS UPDATED BENEFIT.xlsx
,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
"Pessaries, Suppositories and",,,FLOUR MILLS UPDATED BENEFIT.xlsx
Consumables as prescribed by Doctor,,,FLOUR MILLS UPDATED BENEFIT.xlsx
PHYSIOTHERAPY,,,FLOUR MILLS UPDATED BENEFIT.xlsx
Physiotherapy,8 Sessions,12 Sessions,FLOUR MILLS UPDATED BENEFIT.xlsx
Cervical collar,"Covered up to ₦15,000","Covered up to ₦20,000",FLOUR MILLS UPDATED BENEFIT.xlsx
MATERNITY SERVICES,,,FLOUR MILLS UPDATED BENEFIT.xlsx
Antenatal care,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Normal delivery,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Induction of Labour,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Assisted delivery,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Medically indicated and Emergency CS,,,FLOUR MILLS UPDATED BENEFIT.xlsx
Postnatal care,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
ALL OBSTETRICS CARE COVERED,,,FLOUR MILLS UPDATED BENEFIT.xlsx
INFERTILITY SERVICES,,,FLOUR MILLS UPDATED BENEFIT.xlsx
Counselling,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Preliminary diagnosis,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Diagnostic investigations,Not Covered,Not Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Treatment of hormonal imbalance,Not Covered,Not Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
LIMIT,,,FLOUR MILLS UPDATED BENEFIT.xlsx
CHILD CARE AND PEDIATRIC SERVICES,,,FLOUR MILLS UPDATED BENEFIT.xlsx
,,,FLOUR MILLS UPDATED BENEFIT.xlsx
Postnatal care for new born,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Emergency care for new born,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Routine immunizations (NPI),Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
"Other immunizations for 0 -5 years: HIB, MMR",Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
General Practitioner consultation,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Paediatric consultation,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Child care counselling,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Exchange blood transfusion,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
"Special Care Baby Unit ( Incubator Care, Oxygen Therapy, Pulse Oximetry, Phototherapy)",Covered For 10 days,Covered for 12 days,FLOUR MILLS UPDATED BENEFIT.xlsx
,,,FLOUR MILLS UPDATED BENEFIT.xlsx
DENTAL CARE,,,FLOUR MILLS UPDATED BENEFIT.xlsx
Routine  dental examination,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Dental X-ray & Drugs,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Pain relief/therapy,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Amalgam fillings,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Simple extraction,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Dental preventive care,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Composite fillings,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Scaling & polishing (annual),Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Surgical extraction,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Root canal therapy,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
**Dental coverage limits,"Maximum of N60,000.00","Maximum of N100,000.00",FLOUR MILLS UPDATED BENEFIT.xlsx
,,,FLOUR MILLS UPDATED BENEFIT.xlsx
EYE CARE,,,FLOUR MILLS UPDATED BENEFIT.xlsx
Optical consultation,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Routine Eye examination,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
"Refraction, Tonometry, Fundoscopy",Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
"Frames and Lenses (Principal and
dependents.)","All optical care Covered ( up to
N20,000 yearly)","Covered (up to N32,500 yearly)",FLOUR MILLS UPDATED BENEFIT.xlsx
"Medical treatment of simple/primary infection
(e.g.",Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
conjunctivitis),,,FLOUR MILLS UPDATED BENEFIT.xlsx
Foreign body removal,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
"Eye surgeries: Pterygium, pingueculum","Covered (up to N 100,000)","Covered (up to N
150,000)",FLOUR MILLS UPDATED BENEFIT.xlsx
SURGERIES,,,FLOUR MILLS UPDATED BENEFIT.xlsx
Minor Surgeries and Procedures,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Intermediate Surgeries & Procedures,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Major Surgeries & Procedures,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
***Surgical limit,"₦500,000","₦750,000",FLOUR MILLS UPDATED BENEFIT.xlsx
CHRONIC DISEASES MANAGEMENT,,,FLOUR MILLS UPDATED BENEFIT.xlsx
Medical Management Of Chronic Ailments,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
"Supply of Blood Pressure and Blood Sugar
apparatus",Not Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
ANNUAL LIMIT,,,FLOUR MILLS UPDATED BENEFIT.xlsx
ANNUAL MEDICAL CHECK UP- Principals & Spouse,,,FLOUR MILLS UPDATED BENEFIT.xlsx
"Annual physical Examination + Health
Counselling",Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
"Comprehensive medical examination (Under 40 years): Physician pre-evaluation,
",Not Covered,COVERED,FLOUR MILLS UPDATED BENEFIT.xlsx
"(UNDER 40 YEARS)Physician post-evaluation, Complete physical examination,   Urinalysis,   Blood   sugar,   Full Lipid profile, Chest X-ray,
Blood Count,",Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
"Comprehensive medical examination (Above 40 years, Male): Physician pre-evaluation, Physician postevaluation, Complete physical examination, Urinalysis,Blood sugar, Lipid profile, microscopy, Chest xray,Screening for Prostate Cancer (Digital Rectal Examination, PSA)

",covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
"Comprehensive medical examination (Above 40 years, Female) Physician pre-evaluation, Physician postevaluation, Complete physical examination, Urinalysis, Blood sugar, Lipid profile, Chest X-ray,  Screening for cervical cancer (Pap Smear)",COVERED,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
ACCIDENT AND EMERGENCY,,,FLOUR MILLS UPDATED BENEFIT.xlsx
Stabilization,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Emergency drugs and investigations,Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
"Ambulance evacuation (Hospital to Hospital,
Incident scene to Hospital)",Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Intensive Care Unit,Covered up to 3 days,Covered up to 5 days,FLOUR MILLS UPDATED BENEFIT.xlsx
