Benefit sub-Categories,MAX,_source_file
Provider Network,Category B+C+D,Guiness benefit.xlsx
TERRITORY,Local In-country + India + UAE,Guiness benefit.xlsx
OVERALL LIMIT (Millions),Unlimited,Guiness benefit.xlsx
OUT-PATIENT LIMIT (Millions),Unlimited,Guiness benefit.xlsx
DAY TO DAY BENEFITS (Out-Patient),Treatment of conditions that do not require the patient to be admitted in the hospital,Guiness benefit.xlsx
GP consultations within network,Covered,Guiness benefit.xlsx
Specialist consultations within network,Covered,Guiness benefit.xlsx
Telemedicine consultations,Covered,Guiness benefit.xlsx
Prescribed Medications,Covered,Guiness benefit.xlsx
"Laboratory Tests, Ultrasound and X-Rays",Covered,Guiness benefit.xlsx
HOSPITALISATION BENEFITS,"Conditions requiring hospitalization, including specialist consultations, theatre, accommodation, basic radiology, medication and pathology. Subject to pre-authorisation and clinical protocols. Covered, out of overall limits",Guiness benefit.xlsx
Ward Type,Unlimited (Private ward) ,Guiness benefit.xlsx
Accommodation for parent whose infant is on admission,3 days,Guiness benefit.xlsx
Ambulance Services,Covered,Guiness benefit.xlsx
Intensive Care ward within network,30 days  ,Guiness benefit.xlsx
Psychiatric hospitalization ,14 days ,Guiness benefit.xlsx
Outpatient Psychiatry care (8weeks),Covered,Guiness benefit.xlsx
Prosthesis & devices,"N350,000",Guiness benefit.xlsx
MATERNITY,"Baby wellness programme, Ante-natal, Including pre and post-natal care, childbirth by emergency or medically indicated elective C-section (subject to pre-authorization), maternity complications, ultrasound scans, ectopic pregnancies. Limits are per pregnancy. ",Guiness benefit.xlsx
Within Leadway Hospital Network,Covered,Guiness benefit.xlsx
Out of Leadway Network,"ANC + Delivery -N125,000
CS Delivery- N250,000",Guiness benefit.xlsx
Maternity complications*,Covered,Guiness benefit.xlsx
Neonatal care (including incubator),21 days,Guiness benefit.xlsx
Reimbursements for delivery abroad,"Up to N250,000",Guiness benefit.xlsx
Family Planning,"Pills, Injectibles, Copper IUCD, tubal ligation and vasectomy",Guiness benefit.xlsx
Male Circumcision and Ear Piercing,Covered ,Guiness benefit.xlsx
Congenital anomaly treatment (Covered for all Children on the plan),To be drawn out of Major diseases limit.,Guiness benefit.xlsx
IMMUNISATIONS,"Only drawn from mother’s benefit within 30 days of baby’s birth or until baby is registered as an enrollee, whichever is earlier.",Guiness benefit.xlsx
"NPI Immunization for 0-5 year: BCG, Measles, DPT, Oral polio, Vitamin A supplementation, Pentavalent vaccine,Yellow Fever Measles, Hepatitis B, HIB ",Covered,Guiness benefit.xlsx
"Additional Immunisations (For ages 0-5 years): Chickent Pox, MMR, Pneumococcal,  Meningitis, Typhoid, Rotavirus, Hepatitis A",Covered,Guiness benefit.xlsx
"Addition Immunization (above 6 - 17 years): Yellow Fever, Meningitis, Hepatitis B",Covered,Guiness benefit.xlsx
HPV VACCINE (age 8 – 17 years)At Government designated centers,COVERED,Guiness benefit.xlsx
BABY WELLNESS PROGRAMME,Covered,Guiness benefit.xlsx
MAJOR DISEASES,"Cancer treatment (Chemotherapy, medication, surgery), Major Organ Diseases- Kidney Dialysis, Organ transplants, Other major Organ diseases. All drawn from major disease limits, subject to overall limit and pre-authorisation",Guiness benefit.xlsx
Major Disease limit,N 5 Million,Guiness benefit.xlsx
ACUTE RENAL DIALYSIS,,Guiness benefit.xlsx
Auto Immune (Lupus Coverage),N 1 Million,Guiness benefit.xlsx
SURGERIES,"This provide cover for minor, intermediate and Major surgeries including the cost of admission, surgeon, nursing, anesthesia, theatre, drugs and other consumables. Covered from the overall limits and subject to preauthorization",Guiness benefit.xlsx
