Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,_source_file
,,,,PENCOM BENEFIT.xlsx
,Benefit sub-Categories,PRO,PROMAX,PENCOM BENEFIT.xlsx
,Provider Network,Category C + D,Category A+B+C+D,PENCOM BENEFIT.xlsx
,TERRITORY,Nigeria + India,Local In-country + Africa + India + UAE,PENCOM BENEFIT.xlsx
,OVERALL LIMIT (Millions),Unlimited,Unlimited,PENCOM BENEFIT.xlsx
,OUT-PATIENT LIMIT (Millions),Unlimted,Unlimited,PENCOM BENEFIT.xlsx
,WELLNESS BENEFITS,"Health Promotion-Support, Track and Reward positive healthy living habits",,PENCOM BENEFIT.xlsx
,"Active rewards Program (improve your health, get rewarded)",Covered,Covered,PENCOM BENEFIT.xlsx
,Fitnesss Tracker (Leadway Health APP),Covered,Covered,PENCOM BENEFIT.xlsx
,Annual Wellness Screening,Covered,Covered,PENCOM BENEFIT.xlsx
,Mental Health preventive Services,Covered,Covered,PENCOM BENEFIT.xlsx
,Network Gym services,Covered for 4 session in one Month,Covered for 2 sessions per week,PENCOM BENEFIT.xlsx
,"On-site Health Checks , Health Talks/ Webinar. Health Edu Series",Covered,Covered,PENCOM BENEFIT.xlsx
,DAY TO DAY BENEFITS (Out-Patient),Treatment of conditions that do not require the patient to be admitted in the hospital,,PENCOM BENEFIT.xlsx
,GP consultations within network,Covered,Covered,PENCOM BENEFIT.xlsx
,Specialist consultations within network,Covered,Covered,PENCOM BENEFIT.xlsx
,Telemedicine consultations,Covered,Covered,PENCOM BENEFIT.xlsx
,Prescribed Medications,Covered,Covered,PENCOM BENEFIT.xlsx
,"Laboratory Tests, Ultrasound and X-Rays",Covered,Covered,PENCOM BENEFIT.xlsx
,TELEMEDICINE AND TELECONSULTATION,,,PENCOM BENEFIT.xlsx
,Instant Telemedicine call with Doctors ,Covered,Covered,PENCOM BENEFIT.xlsx
,24/7 Emergency response via the Leadway Health APP,Covered,Covered,PENCOM BENEFIT.xlsx
,Chats with Doctors and Nurses when in need of any routine medical information,Covered,Covered,PENCOM BENEFIT.xlsx
,GPS-enabled access to hospital directories whenhospital information is needed,Covered,Covered,PENCOM BENEFIT.xlsx
,HOSPITALISATION BENEFITS,"Conditions requiring hospitalization, including specialist consultations, theatre, accommodation, basic radiology, medication and pathology. Subject to pre-authorisation and clinical protocols. Covered, out of overall limits",,PENCOM BENEFIT.xlsx
,Admission,Unlimited (Semi Private ward) ,Unlimited (Private ward) ,PENCOM BENEFIT.xlsx
,Accommodation for parent whose infant is on admission,2 days,5 days,PENCOM BENEFIT.xlsx
,Ambulance Services,Covered,Covered,PENCOM BENEFIT.xlsx
,Outpatient Psychiatry care (12weeks),Covered,Covered,PENCOM BENEFIT.xlsx
,MATERNITY,"Baby wellness programme, Ante-natal, Including pre and post-natal care, childbirth by emergency or medically indicated elective C-section (subject to pre-authorization), maternity complications, ultrasound scans, ectopic pregnancies. Limits are per pregnancy. ",,PENCOM BENEFIT.xlsx
,"Within Leadway Hospital Network (ANC, Maternity and Postcare)",Covered,Covered,PENCOM BENEFIT.xlsx
,Out of Network,"ANC + Delivery -N100,00
CS Delivery- N200,00","ANC + Delivery -N150,000
CS Delivery- N300,000",PENCOM BENEFIT.xlsx
,Maternity complications*,Covered,Covered,PENCOM BENEFIT.xlsx
,Neonatal care (including incubator),"Covered up to N1,500,000","Covered up to N7,500,000",PENCOM BENEFIT.xlsx
,Reimbursements for delivery abroad,Not Covered,"Vaginal Delivery N200,000/ CS Delivery N350,000",PENCOM BENEFIT.xlsx
,Family Planning,"Pills, Injectibles, Copper IUCD, tubal ligation (only during CS)  and vasectomy","Pills, Injectibles, Copper IUCD, Vasectomy, Tubal Ligation (only during CS) and Norplant",PENCOM BENEFIT.xlsx
,Male Circumcision and Ear Piercing,Covered ,Covered ,PENCOM BENEFIT.xlsx
,Congenital anomaly treatment (only on children born within the plan),"Limit of N 300,000 per annum",Limit of 1million per annum,PENCOM BENEFIT.xlsx
,IMMUNISATIONS,"Only drawn from mother’s benefit within 30 days of baby’s birth or until baby is registered as an enrollee, whichever is earlier.",,PENCOM BENEFIT.xlsx
,"NPI Immunization for 0-5 year: BCG, Measles, DPT, Oral polio, Vitamin A supplementation, Pentavalent vaccine,Yellow Fever Measles, Hepatitis B, HIB ",Covered,Covered,PENCOM BENEFIT.xlsx
,"Additional Immunisations (For ages 0-5 years): Chickent Pox, MMR, Pneumococcal,  Meningitis, Typhoid, Rotavirus",Not Covered,Covered,PENCOM BENEFIT.xlsx
,"Addition Immunization (above 6 - 17 years): Yellow Fever, Meningitis, Hepatitis B","Hepatitis B, Yellow Fever",Covered,PENCOM BENEFIT.xlsx
,BABY WELLNESS PROGRAMME,Covered,Covered,PENCOM BENEFIT.xlsx
,MAJOR DISEASES,"Cancer treatment (Chemotherapy, medication, surgery), Major Organ Diseases- Kidney Dialysis, Organ transplants, Other major Organ diseases. All drawn from major disease limits, subject to overall limit and pre-authorisation",,PENCOM BENEFIT.xlsx
,Major Disease limit,"Covered up to NGN 400,000",N 2 Million,PENCOM BENEFIT.xlsx
,Renal Dialysis,2 Sessions,10 Sessions,PENCOM BENEFIT.xlsx
,SURGERIES,"This provide cover for minor, intermediate and Major surgeries including the cost of admission, surgeon, nursing, anesthesia, theatre, drugs and other consumables. Covered from the overall limits and subject to preauthorization",,PENCOM BENEFIT.xlsx
,"Minor, Intermediate, Major Surgeries & Tertiary Surgeries","Covered up to NGN 400,000.00",Covered ,PENCOM BENEFIT.xlsx
,"Anaesthesia, Surgeon, Admission, Drugs, Surgical supplies/Consumables, administration of blood or blood products, etc",,,PENCOM BENEFIT.xlsx
,OPHTHALMOLOGICAL,Treatments of the eye,,PENCOM BENEFIT.xlsx
