PROVIDER,CITY,COUNTRY
CLEVELAND CLINIC LONDON HOSPITAL,"33 GROSVENOR PLACE LONDON, SW1X 7HY",UNITED KINGDOM
CLEVELAND CLINIC MOORGATE OUTPATIENT CENTRE,"55 MOORGATE LONDON, EC2R 6BH",UNITED KINGDOM
CLEVELAND CLINIC PORTLAND PLACE OUTPATIENT CENTRE,"24 PORTLAND PLACE LONDON, W1B 1LU",UNITED KINGDOM
CROMWELL HOSPITAL,"164-178 CROMWELL ROAD
LONDON SW5 0TU",UNITED KINGDOM
BASINGHALL CLINIC,4 BASINGHALL STREET LONDON EC2V 5BQ,UNITED KINGDOM
ST JOHN & ST ELIZABETH HOSPITAL,"60 GROVE END RD, ST JOHN'S WOOD, LONDON NW8 9NH",UNITED KINGDOM
TGQ MEDICAL,"1345 HIGH ROAD, WHETSTONE, LONDON N20 9HR",UNITED KINGDOM
LONDON BRIDGE HOSPITAL,27 TOOLEY STREET SE1 2PR ,UNITED KINGDOM
THE PORTLAND HOSPITAL,205-209 GREAT PORTLAND STREET W1W 5AH ,UNITED KINGDOM
THE WELLINGTON HOSPITAL,8A WELLINGTON PLACE NW8 9LE ,UNITED KINGDOM
THE HARLEY STREET CLINIC,35 WEYMOUTH STREET W1G 8BJ,UNITED KINGDOM
THE PRINCESS GRACE HOSPITAL,42-52 NOTTINGHAM PLACE W1U 5NY,UNITED KINGDOM
HCA UK AT UNIVERSITY COLLEGE HOSPITAL,"GRAFTON WAY BUILDING, 1 GRAFTON WAY WC1E 6AG LONDON",UNITED KINGDOM
THE LISTER HOSPITAL,"CHELSEA BRIDGE ROAD, SW1W 8RH",UNITED KINGDOM
THE HARBONE HOSPITAL,MINDELSOHN WAY B15 2FQ BIRMINGHAM,UNITED KINGDOM
THE WILMSLOW HOSPITAL,52-54 ALDERLEY ROAD SK9 1NY WILMSLOW,UNITED KINGDOM
THE CHRISTIE PRIVATE CARE,WILMSLOW ROAD M20 4BX MANCHESTER,UNITED KINGDOM
LEADERS IN ONCOLOGY CARE,95-97 HARLEY STREET W1G 6AF ,UNITED KINGDOM
KIDNEY STONES CLINIC,18 DEVONSHIRE STREET W1G 7AQ,UNITED KINGDOM
BATTERSEA & NINE ELMS OUTPATIENTS,12 CHARLES CLOWES WALK SW11 7AD ,UNITED KINGDOM
LUNG NODULE CLINIC,27 TOOLEY STREET SE1 2PR ,UNITED KINGDOM
CANARY WHARF OUTPATIENTS,"LEVEL 1, 40 BANK STREET E14 5NR LONDON",UNITED KINGDOM
WOMEN’S HEALTH CENTRE,27 HARLEY STREET W1G 9QP,UNITED KINGDOM
DEVONSHIRE DIAGNOSTIC CENTRE,DEVONSHIRE STREET W1G 7AF LONDON,UNITED KINGDOM
THE LONDON UROLOGISTS,CHELSEA OUTPATIENT CENTRE SW3 5AW ,UNITED KINGDOM
LONDON NEUROSURGERY PARTNERSHIP,78 HARLEY STREET W1G 7HJ ,UNITED KINGDOM
THE PORTLAND SCOLIOSIS AND SPINAL SURGERY CENTRE,215 GREAT PORTLAND STREET W1W 5PN LONDON,UNITED KINGDOM
URGENT CARE,42-52 NOTTINGHAM PLACE W1U 5NY LONDON,UNITED KINGDOM
URGENT CARE CENTRE FOR CHILDREN,234 GREAT PORTLAND STREET W1W 5QT LONDON,UNITED KINGDOM
LISTER FERTILITY CLINIC,CHELSEA BRIDGE ROAD SW1W 8RH LONDON,UNITED KINGDOM
THE SHARD OUTPATIENTS,"THE SHARD, 32 ST THOMAS STREET SE1 9BS LONDON",UNITED KINGDOM
CHISWICK OUTPATIENTS,BOND HOUSE 347-353 CHISWICK HIGH ROAD W4 4HS,UNITED KINGDOM
BAKER STREET MEDICAL CENTRE,"UNIT 53, 55 BAKER STREET",UNITED KINGDOM
BARNES PRIVATE PRACTICE ,22 CASTELNAU SW13 9RU LONDON,UNITED KINGDOM
BIRMINGHAM CENTRAL MEDICAL CENTRE ,1 CORNWALL STREET B3 2DX BIRMINGHAM,UNITED KINGDOM
CHELSEA OUTPATIENTS,2ND FLOOR COLLEGE HOUSE SW3 5AW LONDON,UNITED KINGDOM
CHELSEA OUTPATIENTS ,280 KING'S ROAD SW3 5AW LONDON,UNITED KINGDOM
CITY OF LONDON OUTPATIENTS ,120 OLD BROAD STREET EC2N 1AR LONDON,UNITED KINGDOM
CITY OF LONDON OUTPATIENTS ,31 OLD BROAD STREET EC2N 1HT LONDON,UNITED KINGDOM
ELSTREE WATERFRONT OUTPATIENTS ,BEAUFORT HOUSE WD6 3BS ELSTREE,UNITED KINGDOM
GLASGOW CENTRAL MEDICAL CENTRE ,203 SAINT VINCENT STREET G2 5QD GLASGOW,UNITED KINGDOM
GOLDERS GREEN OUTPATIENTS ,GOLDERS GREEN OUTPATIENTS AND DIAGNOSTIC CENTRE NW11 9PY ,UNITED KINGDOM
HEADACHE AND FACIAL PAIN SERVICE ,78 HARLEY STREET W1G 7HA LONDON,UNITED KINGDOM
INSTITUTE OF SPORT EXERCISE AND HEALTH (ISEH) ,170 TOTTENHAM COURT ROAD W1T 7HA LONDON,UNITED KINGDOM
LISTER FERTILITY CLINIC AT THE BEACONSFIELD CLINIC ,LITTLE HALL BARN HP9 2JW BEACONSFIELD,UNITED KINGDOM
LISTER FERTILITY CLINIC AT THE PORTLAND HOSPITAL ,215 GREAT PORTLAND STREET W1W 5PN LONDON,UNITED KINGDOM
LOC AT CHELSEA ,102 SYDNEY STREET SW3 6NJ LONDON,UNITED KINGDOM
LOC AT THE HARLEY STREET CLINIC ,81-83 HARLEY STREET W1G 8PP LONDON,UNITED KINGDOM
LONDON BREAST INSTITUTE ,WOMEN'S HEALTH CENTRE W1G 9QP LONDON,UNITED KINGDOM
LONDON DIGESTIVE CENTRE ,41 WELBECK STREET W1G 8EA LONDON,UNITED KINGDOM
LONDON DIGESTIVE HEALTH ,2ND FLOOR W1G 8DW LONDON,UNITED KINGDOM
LONDON LUPUS AND RHEUMATOLOGY CENTRE ,"1ST FLOOR, ST. OLAF HOUSE SE1 2PR LONDON",UNITED KINGDOM
MANCHESTER CENTRAL MEDICAL CENTRE ,ST ANN'S SQUARE M2 7HA MANCHESTER,UNITED KINGDOM
MANSION HOUSE MEDICAL CENTRE ,21 GARLICK HILL EC4V 2AU LONDON,UNITED KINGDOM
NEUROLOGICAL REHABILITATION CENTRE ,"THE WELLINGTON HOSPITAL NORTH BUILDING NW8 6PD LONDON
 ",UNITED KINGDOM
NEW BROAD STREET MEDICAL CENTRE ,58 NEW BROAD STREET EC2M 1JJ LONDON,UNITED KINGDOM
PRIVATE CARE AT GUY'S LONDON BRIDGE HOSPITAL ,PRIVATE CARE AT GUY'S SE1 9RT LONDON,UNITED KINGDOM
SYDNEY STREET OUTPATIENTS ,102 SYDNEY STREET SW3 6NR LONDON,UNITED KINGDOM
THE CARDIAC CLINIC ,LONDON BRIDGE HOSPITAL SE1 2PR LONDON,UNITED KINGDOM
THE LONDON GAMMA KNIFE CENTRE PLATINUM MEDICAL CENTRE,LODGE ROAD NW8 7JA LONDON,UNITED KINGDOM
THE LONDON HIP UNIT ,30 DEVONSHIRE STREET W1G 6PU LONDON,UNITED KINGDOM
THE PHYSICIANS' CLINIC ,14 DEVONSHIRE STREET W1G 7AE LONDON,UNITED KINGDOM
THE PRINCESS GRACE HOSPITAL OUTPATIENTS,30 DEVONSHIRE STREET W1G 6PU LONDON,UNITED KINGDOM
THE PROSTATE CENTRE ,18 DEVONSHIRE STREET W1G 7AQ LONDON,UNITED KINGDOM
THE WELLINGTON HOSPITAL ENDOSCOPY CENTRE ,CENTRAL BUILDING NW8 9SQ LONDON,UNITED KINGDOM
THE WELLINGTON HOSPITAL OUTPATIENTS ,15 - 17 LODGE ROAD NW8 7JA LONDON,UNITED KINGDOM
THE WELLINGTON NEUROENDOCRINE TUMOURS UNIT ,THE WELLINGTON HOSPITAL NW8 9LE LONDON,UNITED KINGDOM
THE WELLINGTON NEUROSURGERY CENTRE ,8A WELLINGTON ROAD NW8 9LE LONDON,UNITED KINGDOM
TOOLEY STREET MEDICAL CENTRE ,MAGDALEN HOUSE SE1 2TU LONDON,UNITED KINGDOM
URGENT CARE CENTRE ,LONDON BRIDGE HOSPITAL 29 TOOLEY STREET SE1 2PR LONDON,UNITED KINGDOM
URGENT CARE ,CHELSEA BRIDGE ROAD SW1W 8RH LONDON,UNITED KINGDOM
URGENT CARE ,8A WELLINGTON PLACE NW8 9LE LONDON,UNITED KINGDOM
URGENT CARE CENTRE FOR CHILDREN ,234 GREAT PORTLAND STREET W1W 5QT LONDON,UNITED KINGDOM
VICTORIA MEDICAL CENTRE ,VICTORIA STATION CONCOURSE SW1V 1JT LONDON,UNITED KINGDOM
ALBYN HOSPITAL ,ABERDEEN,UNITED KINGDOM
ALEXANDRA HOSPITAL ,MANCHESTER,UNITED KINGDOM
BATH CLINIC,"CLAVERTON DOWN RD, CLAVERTON DOWN, COMBE DOWN, BATH BA2 7BR",UNITED KINGDOM
BEARDWOOD HOSPITAL ,BLACKBURN,UNITED KINGDOM
BEAUMONT HOSPITAL ,BOLTON,UNITED KINGDOM
BISHOPS WOOD HOSPITAL ,"NORTHWOOD, LONDON",UNITED KINGDOM
BLACKHEATH HOSPITAL ,SOUTH EAST LONDON,UNITED KINGDOM
CARRICK GLEN HOSPITAL ,AYR,UNITED KINGDOM
CAVELL HOSPITAL ,"ENFIELD, LONDON",UNITED KINGDOM
CHAUCER HOSPITAL ,CANTERBURY,UNITED KINGDOM
CHELSFIELD PARK HOSPITAL ,ORPINGTON,UNITED KINGDOM
CHILTERN HOSPITAL ,BUCKINGHAMSHIRE,UNITED KINGDOM
CIRCLE REHABILITATION ,BIRMINGHAM,UNITED KINGDOM
CIRCLE INTEGRATED CARE ,"BEDFORD, NOTTINGHAM, NORTHAMPTONSHIRE",UNITED KINGDOM
CIRCLE READING,"100 DRAKE WAY, READING",UNITED KINGDOM
CLEMENTINE CHURCHILL HOSPITAL ,"HARROW, LONDON",UNITED KINGDOM
DROITWICH SPA HOSPITAL ,WORCESTERSHIRE,UNITED KINGDOM
DUCHY HOSPITAL ,HARROGATE,UNITED KINGDOM
EDGBASTON HOSPITAL ,BIRMINGHAM,UNITED KINGDOM
GORING HALL HOSPITAL ,WEST SUSSEX,UNITED KINGDOM
HAMPSHIRE CLINIC ,BASINGSTOKE,UNITED KINGDOM
HARBOUR HOSPITAL ,POOLE,UNITED KINGDOM
HENDON HOSPITAL ,LONDON,UNITED KINGDOM
HIGHFIELD HOSPITAL ,ROCHDALE,UNITED KINGDOM
HUDDERSFIELD HOSPITAL,"BIRKBY HALL RD, HUDDERSFIELD",UNITED KINGDOM
KINGS OAK HOSPITAL,"ENFIELD, LONDON",UNITED KINGDOM
KINGS PARK HOSPITAL,STIRLING,UNITED KINGDOM
LANCASTER HOSPITAL,LANCASHIRE,UNITED KINGDOM
LINCOLN HOSPITAL,"NETTLEHAM ROAD, LINCOLN, LINCOLNSHIRE",UNITED KINGDOM
LONDON INDEPENDENT HOSPITAL ,EAST LONDON,UNITED KINGDOM
MANOR HOSPITAL ,BEDFORD,UNITED KINGDOM
MERIDEN HOSPITAL ,COVENTRY,UNITED KINGDOM
MOUNT ALVERNIA HOSPITAL ,GUILDFORD,UNITED KINGDOM
PARK HOSPITAL ,NOTTINGHAM,UNITED KINGDOM
PRINCESS MARGARET HOSPITAL ,WINDSOR,UNITED KINGDOM
PRIORY HOSPITAL ,BIRMINGHAM,UNITED KINGDOM
RIDGEWAY HOSPITAL ,SWINDON,UNITED KINGDOM
ROSS HALL HOSPITAL ,GLASGOW,UNITED KINGDOM
RUNNYMEDE HOSPITAL ,CHERTSEY,UNITED KINGDOM
SARUM ROAD HOSPITAL ,WINCHESTER,UNITED KINGDOM
SAXON CLINIC ,MILTON KEYNES,UNITED KINGDOM
SHELBURNE HOSPITAL ,HIGH WYCOMBE,UNITED KINGDOM
SHIRLEY OAKS HOSPITAL ,"CROYDON, LONDON",UNITED KINGDOM
SLOANE HOSPITAL ,"BECKENHAM, LONDON",UNITED KINGDOM
SOUTHEND HOSPITAL,ESSEX,UNITED KINGDOM
ST EDMUNDS HOSPITAL ,BURY ST EDMUNDS,UNITED KINGDOM
SYON CLINIC ,"BRENTFORD, LONDON",UNITED KINGDOM
THORNBURY HOSPITAL ,SHEFFIELD,UNITED KINGDOM
THREE SHIRES HOSPITAL ,NORTHAMPTON,UNITED KINGDOM
WERNDALE HOSPITAL ,CARMARTHEN,UNITED KINGDOM
WINTERBOURNE HOSPITAL ,DORCHESTER,UNITED KINGDOM
WOODLANDS HOSPITAL ,DARLINGTON,UNITED KINGDOM
BUPA HEALTH CENTRE - AUSTIN FRIARS,"2-6 AUSTIN FRIARS, LONDON EC2N 2HD",UNITED KINGDOM
BUPA HEALTH CENTRE - CANARY WHARF (CROSSRAIL PLACE),"UNIT 20, LEVEL ZERO, 1 CROSSRAIL PLACE, CANARY WHARF, LONDON E14 5AR",UNITED KINGDOM
BUPA HEALTH CENTRE - CHANCERY LANE,"123 CHANCERY LANE, LONDON WC2A 1PP",UNITED KINGDOM
BUPA HEALTH CENTRE - KENSINGTON (CROMWELL HOSPITAL),"18A PENNANT MEWS, LONDON W8 5JN",UNITED KINGDOM
BUPA HEALTH CENTRE - KING'S CROSS,"BATTLE BRIDGE HOUSE, 300 GRAYÂ€™S INN ROAD, LONDON WC1X 8DU",UNITED KINGDOM
BUPA HEALTH CENTRE - WANDSWORTH,"15 BELLEVUE ROAD, LONDON SW17 7EG",UNITED KINGDOM
BUPA HEALTH CENTRE - WEST END,"53 MORTIMER STREET, LONDON W1W 8HR",UNITED KINGDOM
BUPA HEALTH CENTRE - BRISTOL,"SPECTRUM BUILDING, BOND STREET, BRISTOL BS1 3LG",UNITED KINGDOM
BUPA HEALTH CENTRE - EXETER,"34 DENMARK ROAD, EXETER EX1 1SE",UNITED KINGDOM
BUPA HEALTH CENTRE - BRIGHTON,"70 NEW CHURCH ROAD, HOVE BN3 4FL",UNITED KINGDOM
