CODE,STATE,TOWN,NAME,ADDRESS,PLAN
80028074.0,ADAMAWA,YOLA,AUN HOTEL GYM,228 MODIBBO ADAMA WAY YOLA,PRO & HIGHER
8000011.0,ADAMAWA,YOLA,FAST TRACK FITNESS LIMITED,"NO 35 GALADIMA AMINU WAY, JEMITA YOLA",ALL PLANS
80028065.0,ADAMAWA,MUBI,PLANET FITNESS/GYM CENTRE,ALONG JMABAS HOTEL GRA MUBI NORTH,MAX & HIGHER
80028108.0,ANAMBRA,AWKA,HILTON LEISURE RESORT AND HOTEL,NO. 41 REGINA CAELI ROAD OFF ENUGU-ONITSHA EXPRESS WAY AWKA,ALL PLANS
80028141.0,ANAMBRA,ONITSHA,STARMAN GYM,"7, FEGGIE STREET, ONITSHA",ALL PLANS
,BAUCHI,BAUCHI,COTTON HERITAGE GYM ,"THE EVENT PLACE EVENT CENTRE, ABUBAKAR TAFAWA BALEWA WAY, BAUCHI",ALL PLANS
80028039.0,BENUE,MAKURDI,BENUE HOTEL GYM,SAVAHA ROUNDABOUT,ALL PLANS
80028078.0,BORNO,MAIDUGURI,AIBA SPORT RESORT POWERED BY ARMANI SQUARE,"MODUGANARI BYPASS, BEHIND WTC QUARTERS MAIDUGURI",ALL PLANS
80028069.0,BORNO,MAIDUGURI,GRAND PINNACLE LUXURY HOTEL AND GYM,POMPOMARI BYPASS BULUNKULU MAIDUGURI,ALL PLANS
90128319.0,BORNO,MAIDUGURI,WHITE ARENA ,"GOMBOLE ROAD, MAIDUGURI ",PRO & HIGHER
,CROSS RIVERS,CALABAR,HOGIS FITNESS CENTER,"NO. 7 AKIM CLOSE, STATE HOUSING ESTATE ",ALL PLANS
80028071.0,DELTA,WARRI,SANS FRONTIER GYM,"NNPC HOUSING COMPLEX, EKPAN 330101, WARRI",MAX & HIGHER
80028034.0,DELTA,ASABA,TRIPLE T FITNESS,"NO.15, SHARON DESMOND CRESCENT, JESUS SAVES ASABA, ASABA, DELTA STATE",PROMAX & HIGHER
80028187.0,DELTA,ASABA,GOLDMINE RESORT GYM,"12, D.C.E DUNKWU STREET, NOBLE ACADEMY JUNCTION, OKPANAM ROAD, ASABA",PRO & HIGHER
8000014.0,EDO,BENIN,CELEBRITY FITNESS NIGERIA LTD,"1 MODUPE ASEMOYA CLOSE, OPPOSITE TRUST FUNDING BUILDING, ADESUWA GRA, BENIN",PROMAX & HIGHER
80028109.0,EKITI,ADO EKITI,G4 FITNESS CENTRE,"SHOP 2N PAVILION EKITI PARAPO, NEE IYIN ROAD , ADO-EKITI",MAX & HIGHER
80028117.0,ENUGU,ENUGU,KLUB 042,"PLOT 8 KLUB 042 AVENUE, PREMIER LAYOUT, ENUGU",MAX & HIGHER
80028009.0,ENUGU,ENUGU,LIBERTY GYM ,LIBERTY ESTATE ENUGU,MAX & HIGHER
80028070.0,ENUGU,ENUGU,LILBURN GYM,2 LILBURN AVENUE NEW HAVEN EXTENSION ENUGU,ALL PLANS
80028190.0,FCT,GWARINPA,AHEAD FITNESS,"2301, PALL MALL, 4TH AVENUE,GWARINPA, ABUJA",
