LIST OF PRIMARY HEALTH CARE CENTERS (PHCCs) IN LAGOS STATE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
S/N,S/N OF FACILITY,LGA,LGA/LCDA,WARD,NAME OF H/F,ADDRESS,STATUS
1,1,AGEGE LGA,AGEGE LGA,KEKE,SANGO PHC,"2,BALOGUN ROAD, PENCINEMA, AGEGE ",COMPREHENSIVE
,2,,,ISALE OJA ,ILORO PHC,"1, OLUFESO ST ILORO, AGEGE ", 
,3,,,ISALE OJA ,DOPEMU PHC,"39,SHITTA STR BAALE, DOPEMU, AGEGE", 
,4,,,KWAKWA UKU,KWAKWA UKU PHC,"3, AKERELE STR AP AGEGE", 
,5,,,SANGO,AJEGUNLE H/POST,"40, AJIGBOTINU STR, PRO BUS-STOP AGEGE", 
,6,,ORILE AGEGE LCDA,ORILE,POWERLINE PHC,"POWERLINE ROAD, OKO-OBA AGEGE",COMPREHENSIVE
,7,,,ORILE,SORETIRE PHC,"8, AZEEZ OLAOSEBIKAN ST, ORILE AGEGE", 
,8,,,OYEWOLE,ODUNMBAKU PHC,"14, OPEOLU STR, PAPA-ASHAFA, ORILE AGEGE ", 
,9,,,PAPA ASHAFA,PAPA ASHAFA H/POST ," 19, SURA OGUNMAKIN STREET, PAPA ASHAFA, ORILE AGEGE", 
2,10,AJEROMI IFELODUN LGA,AJEROMI IFELODUN LGA,OLUWA/AKERE, AKERE PHC ,"104, BALE STR, OLODI APAPA",COMPREHENSIVE
,11,,,IBAFON, IBAFON PHC ,"10, OBOH STR, IBAFON OLODI APAPA", 
,12,,,TOLU,TOLU PHC ,"10,ALHAJI SALAWU STR, AJEGUNLE", 
,13,,,AJEGUNLE,AJEGUNLE PHC,IYALODE ST. AJEGUNLE, 
,14,,IFELODUN LCDA,LAYENI OKOYA,LAYENI PHC,"244, OJO ROAD,OJA BUS-STOP, AJEGUNLE",COMPREHENSIVE
,15,,,AMUKOKO,AMUKOKO PHC,"1, MOSAFEJO ROAD/TAXI PARK AMUKOKO AJEGUNLE", 
3,16,ALIMOSHO LGA,ALIMOSHO LGA,ALABATA,AKOWONJO PHC ,"100 AKOWONJO ROAD,VULGANIDER B/S",COMPREHENSIVE
,17,,,OGUNTADE BAMEKE,ORISUNBARE PHC,"20,EJIGBO ROAD,ORISUNMIBARE, SHASHA", 
,18,,,OMITUNTUN,IPINLERERE PHC,"8,Akinwowo st, oppGround Choice Hotel, Alimosho", 
