Benefit sub-Categories,PLUS,PRO,MAX,PROMAX,MAGNUM
Provider Network,Category D ,Category C + D,Category C+D,Category B+C+D,Category A+ B+C+D
TERRITORY,Local In-country + India,Local In-country + India,Local In-country + India + UAE,Local In-country + Africa + India + UAE,Local In-country + Africa + India + UAE
OVERALL LIMIT (Millions),Unlimited,Unlimited,Unlimited,Unlimited,Unlimited
OUT-PATIENT LIMIT (Millions),"NGN 250,000",Unlimted,Unlimited,Unlimited,Unlimited
HOSPITALISATION BENEFITS,,,,,
Ward Type,15 days (General ward ) ,20 days (General ward) ,Unlimited (Semi-Private ward) ,Unlimited (Private ward) ,Unlimited (Private ward) 
Accommodation for parent whose infant is on admission,2 days,2 days,2 days,4 days,5 days
Ambulance Services,Covered,Covered,Covered,Covered,Covered
Intensive Care ward within network,300000,400000,500000,650000,800000
Psychiatric hospitalization ,Limit 3 days  per annum,Limit 5 days per annum,Limit 7 days per annum,Limit 10 days per annum,Limit 15 days per annum
MAJOR DISEASES,,,,,
Major Disease limit,"Limit of 100,000 per annum","Limit of 200,000 per annum","Limit of 300,000 per annum","Limit of 500,000 per annum",Limit of 1 million per annum
ACUTE RENAL DIALYSIS,2 sessions per annum,"2 sessions per annum,",Covered up to major disease limit,Covered up to major disease limit,Covered up to major disease limit
SURGERIES,,,,,
Surgeries,"Up to N250,000","Up to N350,000","Up to N500,000","Up to 750,000","Up to 1,000,000"
"Anaesthesia,Surgical supplies/Consumables, administration of blood or blood products, etc",,,,,
DAY TO DAY BENEFITS (Out-Patient),,,,,
GP consultations within network,Covered,Covered,Covered,Covered,Covered
Specialist consultations within network,4 per Annum,6 per Annum,10 per Annum,Covered,Covered
Telemedicine consultations,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited
Medication,Covered,Covered,Covered,Covered,Covered
OPHTHALMOLOGICAL,,,,,
"Primary eye care (consultation, examination, simple/primary infection, medications, eye tests)",20000,30000,50000,Unlimited,Unlimited
Lenses & Frames (Once every two years),"Limit of 7,500 ","Limit of 10,000","Limit of 20,000","Limit of 30,000","Limit of 40,000 "
Surgeries subject to pre-authorization and overall limits,Subject to Surgical limit,Subject to Surgical limit,Subject to Surgical limit,Subject to Surgical limit,Subject to Surgical limit
ENT,,,,,
Treatment of ENT diseases,Covered,Covered,Covered,Covered,Covered
Surgeries subject to pre-authorisation,Subject to Surgical limit,Subject to Surgical limit,Subject to Surgical limit,Subject to Surgical limit,Subject to Surgical limit
DENTISTRY,,,,,
"Basic Dentistry - Full mouth assessment, intra oral radiographs, scale & polish, extractions, emergency root canal treatment, fillings, pain and sepsis treatment","Limit of 10,000 per annum","Limit of 20,000 per annum","Limit of 60,000 per annum","Limit of 80,000 per annum","Limit of 100,000 per annum"
"Specialized Dentistry - Bridgework or crowns, surgical extraction, orthodontic treatment (Only on ages less than 18 years), and dentures(subject to pre-authorization)
",,,,,
DIAGNOSTICS,,,,,
Pathology (laboratory services),30000,50000,Covered ,Covered ,Covered 
Basic Radiology (black & white X rays & abdominal & pelvic ultrasonography),,,Covered ,Covered ,Covered 
