Provider,claim_count,Amt Paid_total,Units Paid_total
Prime Medical Consultants                                  ,13796,121667470.1,86336.0
Tehilah Children Hospital,6030,40517958.9,68655.0
PARAGON CLINICS AND IMAGING NIG LTD,5315,38571216.95,39507.0
St Catherines Specialist Hospital PORT HARCOURT                          ,3028,12166142.97,12875.0
Meridian Hospital,2722,24308493.13,16038.0
Evercare Hospital Lekki Limited,1994,31223691.36,9734.0
The Shawsand Medical Centre,1497,5376485.53,10093.0
PHARMACY BENEFIT PROGRAMME PHC,929,19707611.0,9422.7
Cumi Medical Centre,805,2453154.55,4112.0
Morning Star Hospitals,802,2712525.25,3705.0
Outreach Women & Children Hospital FESTAC,795,5342007.18,3496.0
Grey Insight ,756,1132500.0,756.0
HEALTHBRIDGE MEDICAL CONSULTANTS,714,5659672.56,4883.0
PHARMACY BENEFIT PROGRAMME LAGOS,665,8213191.855,8282.0
First Rivers Hospitals                                     ,652,4251680.0,3982.0
Cynard Eye Clinic                                          ,646,9910550.0,885.0
Lily Hospital WARRI,641,2848304.66,5116.0
The Premier Specialist Medical Centre VI,636,4992497.5,121509.9
PONYX HOSPITAL,628,1844609.64,1631.0
ULTIMATE SPECIALIST HOSPITAL PH,626,1534752.8,4778.0
Mecure Healthcare Ltd Oshodi                         ,589,2954516.83,589.0
St Martins Hospital,589,2402603.0,2388.0
PRINCESS MEDICAL CENTRE SIGNATURE WING,582,4949559.26,3692.0
BONA SPECIALIST DENTAL PH     ,576,10941916.5,525922.95
Ifpf Hospital,569,1534255.7,3440.0
PERFECT SIGHT EYE CARE CENTRE,529,7424557.9,2298.0
Image Diagnostics PHC,465,5493350.0,465.0
PEE FITNESS,416,952500.0,416.0
ANALYTICS MEDICAL DIAGNOSTICS LTD,412,2506800.0,337.0
MEDPLUS PHARMACY LIMITED SAKA TINUBU,408,2845419.5,2191.6
PALMARS HOSPITAL,404,5376670.25,2144.0
R Jolad Plus,361,3036066.7,1386.0
Enwongo Abasi Medical Centre,358,2281146.5,1614.0
ECHO SCAN SERVICES OPEBI,349,2550554.79,349.0
Roa Specialist Hospital,331,1898043.7,1245.0
CARLSANA PHARMACEUTICALS AND STORES LTD,329,3804970.0,362.0
Lily Hospital BENIN,326,1612449.04,4618.0
INTERCONTINENTAL DIAGNOSTICS CENTER,324,2680650.0,324.0
Pediatric Partners Ltd                                      ,322,2382675.0,660.0
PRIME VISION AND LASER CENTRE,297,4013230.0,491.0
Solid Rock Hospital,288,845986.66,979.0
Paelon Memorial Clinic Victoria Island                                     ,282,3060903.2,1608.0
Faithcity Hospital Ajao,279,860928.36,1206.0
SPRINGS MEDICAL SERVICES                            ,278,1822632.85,2201.0
WELLAHEALTH PHARMACY (CLAIMS PROCESSING ONLY),273,1038854.93,2272.0
Clinix Health Ltd Ilupeju,271,2107125.0,272.0
Rosa Mystica Hospital,270,1140146.91,896.0
Doren Specialist Hospital                                   ,269,765250.0,1254.0
Talent Specialist Hospital                                  ,259,604545.83,1383.0
VISION CARE EYE CLINIC,255,3875865.0,121606.0
Pamo Hospital,253,971492.75,19837.03
Isalu Hospital Limited,244,1714088.84,965.0
Cimbak Dental Clinic,240,7206500.0,3867.0
ULTIMATE PRIME DENTAL SURGERY LIMITED,233,4434823.0,150330.0
LIFENEST HOSPITAL LIMITED,227,603325.7,1712.0
NOVELTY EYE CLINIC,214,2407248.6,341.0
Havana Hospital,212,1419999.81,875.0
I AM FIT GYM,211,399000.0,211.0
Princess Medical Centre CLASSIC WING                                ,211,1289071.31,1150.0
Lagoon Clinics - Victoria Island,210,2166175.5708,937.0
Kendox Hospital,207,564283.81,924.0
Primrose Specialist Hospital,207,2665214.47,1840.0
Med-In Specialist Hospital                                  ,200,329395.45,917.0
Hartwell Hospital,200,2299998.21,1290.0
Limi Hospital And Maternity Limited                        ,198,1412769.01,804.0
CAPITOL HILL HOSPITALS LTD,197,715710.0,1161.0
FREBSON FITNESS GYM ISOLO,193,498000.0,193.0
GO WELLNESS CENTER AND RESORT,193,325500.0,193.0
Lifeline Children Hospital Surulere                ,192,1277325.0,459.0
MAMUZO HOSPITALS,192,887484.3,791.0
Opti-Vue Eyecare Limited                                   ,187,2505800.0,336.0
ATLANTIS PEDIATRIC HOSPITAL,186,1443942.85,345.0
Nisa Premier Hospital,185,1384690.0,400.0
Afriglobal Medicare Limited,185,1297185.0,185.0
C & C Opticians Limited                                     ,184,2773865.0,1623.0
ZOOM 36 DENTAL CLINIC PH,183,3803500.0,257.0
R-Jolad Hospital Gbagada,171,1794323.29,880.0
CARIX HOSPITAL,166,373590.2,105148.75
Lota Medical Centre                                         ,163,595824.5,1134.0
Samaritan Clinic and Hospital,156,748240.0,1088.0
LAGOON HOSPITAL - IKOYI REFERRALS ONLY,154,1558220.99,816.0
Raziela Specialist Clinic,152,838038.7,1229.0
SMILE 365 STAR DENTAL CLINIC,150,5879000.0,329.0
Ocuville Eye,141,889295.0,312.0
Ifebi Medical Centre Awka,133,152642.64,953.0
Amara Medicare Limited SANGOTEDO,132,1380373.59,383.0
Divine Medical Centre,128,460806.75,343.0
Green Acres Hospital,128,403863.0,730.0
Newgate Hospital,127,315846.1,1095.0
Subol Hospital                                              ,126,385206.95,637.0
Platinum Eyecare Limited,122,1264295.0,140.0
Pristine Medical Centre,119,335196.5,620.0
LIFE FORTE SPECIALIST HOSPITAL,119,213696.4,1188.0
Legend Eye Clinic,115,173400.0,208.0
PAN OJ CLINIC AND MATERNITY,115,494164.89,840.0
ATINU CRITICAL CARE HOSPITAL LIMITED,114,313237.04,1085.0
ZOOTZITTI FITNESS ,113,151500.0,113.0
WHYTEVILLE DENTAL CLINIC,111,1665500.0,183.0
Jethrone Hospitals and diagnostics,111,199121.44,708.0
Smile360 Dental Specialist                                  ,106,3779500.0,124.0
PAEDIATRIC AND MATERNAL CARE HOSPITAL,106,1189247.6,475.0
Synlab Nigeria Limited,102,2697520.0,102.0
Visioncraft Eye Clinic,101,1354242.0,232.0
REIMBURSEMENT,101,8666037.0,552.0
Pennuel Eye Clinic,101,1596780.0,81173.0
GO FITNESS LIMITED,100,245500.0,100.0
Gods Knot Hospital,99,155479.5,473.0
BELANKA HOSPITAL,98,754424.65,377.0
MASCAP HOSPITAL UBEJI,95,125308.4,620.0
Esteem Dental Clinic                                        ,93,1418183.5,356.0
Dove Hospital And Healthcare Services,93,324679.4,429.0
Aniyun ,92,145471.08,394.0
SOTERIA EYE CLINIC LIMITED,92,1590140.0,480.0
Union Diagnostics Yaba,91,426220.0,91.0
Adanta Children Hospital,89,126047.12,517.0
Krystal Medical Centre,87,372036.95,563.0
St Ives Specialist Hospital Opebi,87,1829549.41,351.0
Lifeline Children Hospital LEKKI                            ,83,490935.0,110.0
PRISTINE EYE CARE LIMITED,82,854527.5,171.0
Peter and Grace Medical Centre,82,167162.2,678.0
Solad Medical Centre,81,135650.34,555.0
Eyemasters Limited,80,913635.0,7898.0
Frontier Consultants Clinic,80,252014.15,446.0
VINCA HOSPITAL,80,260655.0,333.0
Transview Diagnostics Ltd,78,345400.0,80.0
St Lukes Hospital Asaba,78,388350.0,496.0
HILTON CLINICS,77,291189.19,517.0
Cova Care Specialist Clinic,76,590116.1799999999,561.0
SUSPENDED BLOSSOM DENTAL CLINIC AND BRACES CENTRE,76,2502636.25,385.0
CAREONE CLINICS,74,257460.25,174.0
Kowa Specialist Clinic Ughelli,72,114661.15,102.0
WINAN HOSPITAL LTD,72,172503.28,402.0
GILEAD DENTAL SPECIALIST,71,1222000.0,135.0
The Eye Surgery & Laser Centre,70,1077370.0,110.0
LOTAG EYE CLINIC,70,1317660.0,148.0
BE FIT GYM AND SPA,69,126500.0,69.0
MARYLAND HEALTH CARE,69,563340.3,347.0
Krisany Medical Services,68,234932.5,268.0
LOVEWORLD MEDICAL CENTRE LMC,67,1640942.83,27787.449999999997
South Shore Womens and Childrens Hospital,67,1471515.9,383.0
CHARLIES TOTAL FITNESS ,66,395000.0,180.0
Dental Plus Clinic VI,66,951500.0,121.0
FaithCity Hospital Limited VI,65,306605.42,358.0
Morningstar Eye Clinic And Optical Services                 ,65,907489.5,216.0
Vine Branch Maternity Hospital,65,97492.3,187.0
Lagoon Hospitals - Ikeja,65,516307.325,517.0
X Serve Clinics Lekki,61,249952.63,131.0
ST NICHOLAS MARYLAND,60,401132.0,433.0
STRATEGIC INSIGHT HEALTHCARE,60,1860446.0,510.0
Okparavero Memorial Hospital,60,196788.65,689.0
OMEGA FORTUNE DIAGNOSTICS AND CLINIC,59,430646.22,341.0
Faith Foundation Specialist Clinic                         ,58,134022.5,275.0
Dothan Eye Centre Ago,58,412560.0,69.0
Cedarcare Hospital,58,255657.21,479.0
St Raphael Divine Mercy Specialist Hospital,57,255036.0,394.5
Premier Medical Services Uyo,56,260704.73,389.0
MYRA DENTAL CLINIC NIG LIMITED,56,1075483.0,175.0
St Nicholas Hospital,55,1416655.7,443.0
UNITED HEART LIMITED,55,343944.2,249.0
Arubah Specialist Hospital,55,234665.0,274.0
LEADWAY HEALTH TELEMEDICINE SERVICE,54,27000.0,54.0
Crystal Specialist Hospital,53,162518.08,299.0
LIFE SPECIALIST HOSPITAL LTD NNEWI,53,187508.4,414.0
Queens Specialist Hospital Ltd Ikeja                         ,52,109235.31999999999,297.0
Ultimate Eye Clinic                                         ,52,850400.0,126.0
APEX HEALTH SPECIALIST HOSPITAL PORT HARCOURT,51,324691.07,338.0
DARLYN SPECIALIST HOSPITAL,51,102756.5,20340.25
De Favours Dental Clinic,51,351407.4,80869.45
HEPHZIBAH EYECARE LTD - LEKKI,49,646150.0,160.0
Beaconhill Smile - Victoria Island,48,707500.0,51.0
Rehoboth Medical Service Ltd Port Harcourt,48,4291572.0,663.0
