Provider,claim_count,Amt Paid_total,Units Paid_total
FIRST CHOICE SPECIALIST HOSPITAL KANO,19328,71649121.13,80131.0
ASYMCO HEALTH CLINIC,10091,26682037.19,66594.0
NEW GREENLAND SPECIALIST HOSPITAL,9274,26169808.99,52849.0
HIS STRIPES SPECIALIST HOSPITAL,8223,28434473.13,76649.45
Parklande Specialist Hospital     ,6836,19273959.5,245885.0
SACRED HEART CLINIC APAPA,6265,12694244.565,32766.0
Clinix Health Ltd Ilupeju,5557,28442160.0,3521.0
Natafod Consultants Hospital,5399,6415375.6,8800.0
Ace Medicare Clinics                                           ,4714,12887309.815,11008.0
PRINCE AND PRINCESS HOSPITAL APAPA,4418,4875769.08,10394.0
Rock Of Ages Hospital,4097,6499613.85,27941.0
Oak Hospitals                                               ,3735,7930033.0,10327.0
Funto Hospital,3724,8542743.48,3785.0
PHARMACY BENEFIT PROGRAMME LAGOS,3258,15836448.28,22199.5
RAYSCAN DIAGNOSTICS CENTRE,2812,12839128.0,2813.0
FALETI MEDICAL CENTRE,2735,7152128.18,7234.0
Asibitin City and Maternity,2570,4578913.18,16714.0
Newgate Hospital,2442,6089075.18,4927.0
General Hospital - Mokwa,2411,4482257.1,260687.88
All Soul’S Clinics Limited,2394,3826036.61,5664.0
Goodness Medical Centre Lusada,2261,4111285.93,6017.0
Graceland Medical Centre,2242,4359259.18,3542.0
Hillstar Clinic Nigeria Limited,2194,5394751.23,2218.0
KANO HOSPITAL PHARMACY AND DIAGNOSTIC CENTER,2186,7013011.0,12041.0
FOREMOST RADIOLOGY CONSULTANTS LIMITED,2142,13928972.5,222.0
DASOCHRIS HOSPITAL,2139,1826039.1,2577.0
Mercy Thomas Oredugba Medical Centre                        ,2122,3748099.84,1830.0
Goodness Medical Centre Lagos,2004,4783731.51,4445.0
JOEDAN HOSPITAL LIMITED,1962,3431078.47,81.0
Abbey Medical Centre,1939,4767374.91,8361.0
Subol Hospital                                              ,1901,7444682.0,6774.0
Westcare Hospital Ejigbo,1852,5099884.49,3503.0
De New Aiyetoro Hospital,1827,1966128.75,2040.0
Emel Hospitals Ltd.,1805,10169203.81,7533.0
St Raphael Divine Mercy Specialist Hospital,1771,7185870.0,4480.0
Standard Specialist Hospital Kano,1635,4545165.75,9593.0
Brick Field Hospital,1584,4007118.3,2323.0
Ihouse Optical And Dental Surulere,1566,10795966.5,660.0
Lad Medical Centre                                         ,1559,4175232.19,5391.0
Goodfaith Clinics Limited                                   ,1547,3431370.76,348.0
Hetta Medical Centre,1524,2895312.0,5718.0
ROLAYO MEDICAL CENTRE,1466,2610857.6,3923.0
Outreach Women & Children Hospital FESTAC,1408,7386519.49,31027.0
Mount Pisgah Hospital,1391,4179872.99,5870.0
OXFORD HEALTHPLUS HOSPITAL,1346,7593301.4,923.0
AE AIMA HOSPITAL LTD,1345,5481482.25,808.0
TRINITY ROCK CLINIC AND MATERNITY,1294,2652218.27,541.0
SONEX CLINICS LTD,1271,1816592.5,5852.0
HAMKAD HOSPITAL NIGERIA LIMITED,1239,4110551.66,3064.0
Faith Hills Specialist Hospital,1145,2978383.27,2955.0
Ibijola Medical Centre,1138,3766153.91,4193.0
ADEMOLA HOSPITAL AND MATERNITY,1103,1345024.75,3673.0
Kingtrust Medical Center,1086,4189284.85,107319.0
Kiladejo Hospital,1052,2155422.89,5434.0
Promise Medical Centre Dopemu,978,1240224.05,2292.0
Ilogbo Central Hospital,957,3202809.78,2136.0
Rophe Hospital                                              ,949,3776996.07,1871.0
ADIA HOSPITAL,931,2559301.91,0.0
KOLAK HOSPITAL ,911,1582933.04,2011.0
PRIMUS HOSPITAL LTD,901,1776439.61,1512.0
First Opticians Eye Clinic KANO,893,4535037.5,1448.0
Mother of Good Counsel Hospital & clinics,889,1682017.2,3912.0
Raysight Eye Clinic,867,3559065.0,961.0
MAZAF MEDICAL CENTRE,850,1896671.93,0.0
SHIRISH CLINIC,833,725108.05,1622.0
CEMA MEDICAL CENTRE,833,3714497.25,3252.0
DEELACS HOSPITAL,809,1106074.2,679.0
BeaconHealth Diagnostics Lekki,805,4527683.7,761.0
Crystal Specialist Hospital,804,2289148.8,1676.0
The Pizzazz Hospital ,755,2741302.35,5125.0
Nusamin Clinic & Hospital Ltd,744,2578146.85,819.0
CARE GIVERS HOSPITAL,727,1293071.66,75946.15
Harmony Hospital Limited                                   ,699,1862043.85,2718.0
Bronk Premiere Hospital Limited,688,1858366.2,60282.75
Ladi Lak Medical Centre,665,1124338.5,1591.0
Divine Amazing Grace Hospitals Services,647,1977324.75,3772.0
New Evolution Clinics Ltd,647,1451488.91,1905.0
Mecure Healthcare Ltd Oshodi                         ,639,3016646.26,488.0
ZOE SPECIALIST MISSION HOSPITAL,635,1473232.3,3317.0
ST MACRINA HOSPITAL LIMITED,634,896801.8,7359.0
El Lab Medical Diagnostics,619,3803196.0,389.0
suspend The Smile Shop Dental Clinic Kano,612,4631000.0,641.0
Beachland Specialist Hospital Arepo,609,1794510.7,2985.0
Osuntuyi Medical Centre Iju,608,1038180.94,1321.0
ETERNAL LIFE HOSPITAL,597,2208447.2,96.0
Bidems Victory Hospital & Diagnostic Centre,584,2413924.05,739.0
Davestar Hospital,582,2214598.8,2387.0
Primex Hospital,581,1207920.24,13376.15
PATOL MEDICAL CENTRE,579,1056532.8,2668.0
Jim Sam Hospital And Maternity Homes Ltd,576,1455433.38,315.0
MAYRIAMVILLE MEDICAL CENTRE,553,2980275.3,0.0
ICONIC HOSPITAL  ,551,1320750.35,3107.0
Beachland Specialist Hospital Mowe,547,818504.28,584.0
INLAND SPECIALIST HOSPITAL ALAPERE,540,1074778.0,755.0
Asi Ukpo Diagnostic & Medical Centre,528,3495044.65,3363.0
BERNICE CLINIC AND MATERNITY LAGOS,521,1695714.3,235.0
Olasilver Medical Center Ago,520,605889.1,3150.0
DEEN GLOBAL CLINIC KANO,485,2407166.65,1869.0
TRUST IN GOD MEDICAL CENTRE,482,740759.4,726.0
First Cross Hospital,479,854127.22,2549.0
EL SHADDAI MEDICAL & LAB,477,1136289.52,1761.0
Broad Hospital & Maternity                                  ,476,1039993.4,800.0
Ameso Clinic,476,2241084.37,1718.0
Golden Cross Infirmary,473,1820697.76,785.0
GOLDEN HEART HOSPITAL,473,1543045.19,2415.0
Acrivision Eyecare,472,3283005.0,800.0
Aniyun ,467,925450.33,2058.0
QUEEN STELLA SPECIALIST HOSPITAL,463,1538525.43,627.0
WELLAHEALTH PHARMACY (CLAIMS PROCESSING ONLY),458,1191683.36,273.0
Solid Rock Hospital,452,2178415.25,1184.0
St Shiloh Medical Centre,451,1633466.45,3062.0
Jefis Specialist Hospital Limited,451,604287.18,1507.0
MEDPLUS PHARMACY LIMITED SAKA TINUBU,433,990641.25,634.2
iHouse optical and dental Agbara,428,3912927.15,557.0
 DE- LAKELAND IMPERIAL MEDICAL CENTRE,427,1582119.84,112951.34
Westcare Specialist Hospital                                ,423,1534913.57,1919.0
LOVING HEART HOSPITAL,421,1580345.05,1238.0
Roa Specialist Hospital,420,1522284.05,1592.0
EL DUNAMIS MEDICAL CENTRE,418,1255843.66,1180.0
Medicplus Specialist Hospital,416,1045059.0,2047.0
Ab Specialist Hospital,408,1195547.9,822.0
Molly Specialist Hospital                                  ,406,2299504.75,2177.0
Blue Cross Hospital                                         ,398,1182365.47,2173.0
AJAYI MEDICAL CENTRE,396,1207976.8,42.0
Reliance Clinic and Maternity,395,517399.28,1874.0
ROYALIFE SPECIALIST HOSPITAL AND MATERNITY CENTRE LTD ,390,1332618.2,0.0
Lifeline Children Hospital Surulere                ,386,1640689.99,520.0
Elphy Specialist Hospital,384,547665.33,938.0
