Provider,claim_count,Amt Paid_total,Units Paid_total
Lily Hospital BENIN,5297,27504881.15,8724489
Isalu Hospital Limited,2040,13407776.4,30995
Narrow Way Clinic,1609,3488386.07,12089
Lifegate Specialist Hospital Ltd,1488,5111126.99,1620003
BeaconHealth Diagnostics Lekki,1205,6543072.04,1205
Niger Clinic & Maternity,1013,2801884.0,10602
TONA HOSPITAL NIG LTD,749,1115080.72,4533
HAMKAD HOSPITAL NIGERIA LIMITED,696,2478278.36,3368
Lagoon Hospitals - Ikeja,659,8366664.387,3917
Clinix Health Ltd Ilupeju,615,3687350.0,615
ECHO SCAN SERVICES OPEBI,516,3281495.68,516
BENIN MEDICAL CARE LIMITED,486,2033547.9,151358
Osuntuyi Medical Centre Iju,419,777466.3099999999,2175
PHARMACY BENEFIT PROGRAMME LAGOS,345,2603741.5,6635
FARAMED CLINICS,339,778775.35,2010
Peter and Grace Medical Centre,334,851476.41,1993
MEDWIN HOSPITAL,289,546155.22,1347
Ayodele Medical Centre,285,991353.15,2349
Ace Medicare Clinics                                           ,284,1178720.43,1770
CRESTVIEW RADIOLOGY IGBOBI(Referrals only),262,1395206.0,262
Sandra Hospital,260,859131.44,1035
Spring Clinic                                               ,255,265255.8,1162
St Lukes Hospital Asaba,254,1553160.0,1792
TRIPLE CARE HOSPITAL,252,888835.82,662
Prime Opticals And Eye Clinic,249,1631347.5,406
OMEGA FORTUNE DIAGNOSTICS AND CLINIC,237,1863567.715,1328
Lily Hospital WARRI,233,1016624.26,1881
PATRICK OTIJI SPECIALIST HOSPITAL POSH,217,3301509.95,889
Limi Hospital And Maternity Limited                        ,207,1758076.8466,1168
Prime Medical Consultants                                  ,201,2385560.0,955
Rosa Mystica Hospital,193,1318807.48,546
FIDELITY HOSPITAL,187,1810438.46,750
Forst Eye Clinic Ogba                                            ,179,1537540.0,192
PAEDIATRIC AND MATERNAL CARE HOSPITAL,179,1957304.0,389
Solid Rock Hospital,175,680250.0,657
INLAND SPECIALIST HOSPITAL ALAPERE,170,291739.0,760
Union Diagnostics Yaba,170,774490.0,170
MOTHER AND CHILD HOSPITAL OMOLE,167,971178.0,901
IHUNANYA SPECIALIST HOSPITAL,164,1015059.8,435
Molly Specialist Hospital                                  ,164,1787355.0,615
LIFE SPECIALIST HOSP LTD AWKA FORMERLY Life International Hospital,163,1010893.7,921
Havana Hospital,156,2247028.82,589
Beachland Specialist Hospital Mowe,155,248896.0,641
R-Jolad Hospital Agege,154,1438252.57,635
Faith Mediplex,147,691510.5,1149
Mecure Healthcare Ltd Oshodi                         ,144,2232457.81,144
BELANKA HOSPITAL,141,1281358.4,434
MOBONIKE HOSPITAL,138,338502.05,446
ZOE SPECIALIST MISSION HOSPITAL,137,457576.5,477
THE SHEPHERD MEDICAL CENTRE                                 ,137,1253150.0,420
St Ives Specialist Hospital Opebi,137,2760509.86,1127
HOLY FAMILY CATHOLIC HOSPITAL,131,320648.5,631
DOCTORS SPECIALIST CLINIC AND MATERNITY,123,559630.7,661
Premier Medical Services Uyo,123,518204.35,815
SANCTA MARIA CLINIC,122,229166.65,993
PREMIER CARE DIAGNOSTICS,118,1523580.0,118
CEDAR CREST HOSPITALS LIMITED APO,115,2426431.6999999997,469
St Catherines Specialist Hospital PORT HARCOURT                          ,111,327381.8,403
COXWELL SPECIALIST HOSPITAL,109,1085770.0,355
SHALINA DIAGNOSTICS LAGOS,104,894274.0,104
Ikenegbu Hospital                                           ,103,216434.6,442
Nisa Premier Hospital,100,1207160.0,312
WELLAHEALTH PHARMACY (CLAIMS PROCESSING ONLY),100,278785.07,100
Gentleman Abdulsalam M. Hospital,99,60701.1,1421
Budo Specialist Hospital                                    ,96,309651.0,482
Hetta Medical Centre,96,170940.0,737
Tehilah Children Hospital,95,704590.0,312
Longing Medical Centre                                      ,95,311625.13,711
Faithcity Hospital Ajao,92,406547.4,409
St Philomena Catholic Hospital,92,699840.3,360
ABUNDANT LIFE HOSPITAL LTD,92,248722.0,703
Banby Specialist Hospital,90,333340.0,399
Harmony Hospital Limited                                   ,89,206702.0,470
DUKES NEUROSURGERY AND SPECIALIST HOSPITAL,88,2323895.0,404
Anchormed Hospital,88,240365.0,941
Promise Medical Centre Dopemu,87,643671.5,469
Primrose Specialist Hospital,84,354818.12,874
Maxi Specialist Eye Clinic                                  ,84,799025.0,201
Asi Ukpo Diagnostic & Medical Centre,82,414356.9,375
Vine Branch Maternity Hospital,82,285826.66000000003,314
Vintage Hospital                                            ,82,300585.2,656
NIGER OPTICAL ENUGU,81,413907.5,126
MEDPLUS PHARMACY LIMITED SAKA TINUBU,79,976718.5,741
ROYALIFE SPECIALIST HOSPITAL AND MATERNITY CENTRE LTD ,78,265193.69,403
Angel & Eagle Specialist Hospital,78,243858.34,441
OUTREACH SIGNATURE WOMEN AND CHILDREN HOSPITAL,77,7210954.0,548
Arubah Specialist Hospital,76,441300.0,327
OYOMESI HOSPITAL,76,256471.25,529
Araba Medical Center,76,238864.99,495
