Provider,claim_count,Amt Paid_total,Units Paid_total
St Catherine Specialist Hospital ABUJA,6703,29573202.61,32676.0
MEV Specialist Hospital,2482,9810296.33,13220.0
DEDA HOSPITAL LIMITED,2288,32963595.5,9188.0
Limi Hospital And Maternity Limited                        ,988,9698035.2492,5632.0
CEDAR CREST HOSPITALS LIMITED APO,831,8987421.06,4135.0
Nisa Premier Hospital,793,7244620.0,1851.0
VINCA HOSPITAL,757,2584782.5,3799.0
ECHO SCAN SERVICES OPEBI,704,5136891.56,704.0
Medicaid Radiodiagnostics and Clinic Limited                                  ,679,3388700.0,679.0
Bethel Dental Clinic                                       ,538,2525810.45,2038.0
LEAH MEDICAL CENTRE,384,1811578.6099999999,1326.0
EVERIGHT DIAGNOSTIC AND LABORATORY SERVICES LIMITED,374,3185828.0,374.0
PRIME SPECIALIST HOSPITAL AWKA,336,879513.8,1625.0
Miyetti Hospital Ltd ,279,1238711.04,1165.0
DAUGHTERS OF CHARITY OF ST. VINCENT DE PAUL HOSPITAL BWARI,255,857423.15,1527.0
E-CLINICS and DIAGNOSTIC LTD ABUJA,254,2579540.0,254.0
BeaconHealth Diagnostics Lekki,243,1357322.25,243.0
KELINA HOSPITAL ABUJA,235,1382500.0,890.0
MEDPLUS PHARMACY LIMITED SAKA TINUBU,224,2702282.95,618.0
PINECREST SPECIALIST HOSPITAL NASSARAWA,219,606638.85,1304.0
GRABBO FERTILITY CLINIC& DIAGNOSTIC CENTER,218,3007200.0,255.0
Locus Eye Clinic,216,1970042.5,256.0
RAYSCAN DIAGNOSTICS CENTRE,215,801036.0,215.0
SILVERCREST GYNAECOLOGY CONSULTANTS KANO,212,1266800.0,299.0
WELLAHEALTH PHARMACY (CLAIMS PROCESSING ONLY),203,390167.35,203.0
Isalu Hospital Limited,200,796949.31,1831.0
ZHAHIR HOSPITAL AND DIAGNOSTICS CENTRE LTD KANO,188,915245.11,625.0
Clinix Health Ltd Ilupeju,170,915967.5,170.0
SYCAMORE PHARMACY,170,1934700.0,94815.0
Liberty Hospital,160,120553.85,823.0
Angelic Care Hospital                                      ,158,849800.0,217.0
Excel Specialist Hospital And Fertility,156,1207339.0,1695.0
HOSPIMED CLINICS AND CHILDREN HOSPITAL LTD.,155,649465.0,80777.0
FEDERAL TEACHING HOSPITAL GOMBE,155,983397.0,170.0
Asi Ukpo Diagnostic & Medical Centre,150,1260974.65,510.0
CERBA LANCET (Clina Lancet),149,644855.0,149.0
Jowako Hospital,144,730190.0,734.0
"ARISE AND SHINE HOSPITAL, ABUJA",126,936074.09,799.0
Garkuwa Spec. Hospital,124,367820.9,812.0
Alpha Zone Eye Clinic,122,1182975.0,249.0
Firmcare Diagnostics,121,888470.0,121.0
STEDMED SPECIALIST MEDICAL CENTRE &CHILDREN S HOSPITAL,113,226754.16,508.0
ULTRAMED HOSPITAL,112,749599.0,350.0
Ayodele Medical Centre,111,324794.35,748.0
KANO HOSPITAL PHARMACY AND DIAGNOSTIC CENTER,102,278379.0,569.0
SHALINA DIAGNOSTICS LAGOS,100,314190.0,100.0
TRIPLE CARE HOSPITAL,97,534885.5,338.0
Finnih Medical Centre                                       ,92,481940.0,514.0
Aminu Kano Teaching Hospital Kano,91,607009.9559,485.0
ENT SUPER CARE CLINIC LIMITED,90,903424.9,664.0
Dalchifit Wellness Center,86,255000.0,86.0
PHARMACY BENEFIT PROGRAMME ABUJA,86,1259800.0,814.0
ELIM EYE CLINIC,83,571510.0,125862.0
DAWAKI MEDICAL CENTRE,82,290979.96,444.0
Royan Hospital,78,161910.0,358.0
LIFE SPECIALIST HOSP LTD AWKA FORMERLY Life International Hospital,78,296621.8,45322.3
Unity Clinic and Maternity,77,36539.5,469.0
AVANT GART DENTAL CLINIC,74,320417.0,317.0
Smiley Optical Services,72,433345.0,133.0
suspend The Smile Shop Dental Clinic Kano,71,479000.0,95.0
Softshell Specialist Hospital,69,94619.76,303.0
Family Care Multiclinics Ltd Abuja                        ,68,206437.89,358.0
Sabana Specialist Hospital Ltd,66,62288.15,510.0
De mary central hospital,65,202256.0,233.0
Mecure Healthcare Ltd Oshodi                         ,63,388549.02,64.0
ONMAC HEALTHCARE SERVICES,62,295710.5,62.0
Reddington Multispecialist Hospital VI,61,750902.89,275.0
Opticare Eye clinic,61,421800.0,99069.0
St Martins Hospital,60,155834.9,282.0
PHARMACY BENEFIT PROGRAMME LAGOS,59,520900.0,938.0
Evercare Hospital Lekki Limited,58,908134.62,177.0
Synlab Nigeria Limited,57,829950.0,57.0
LIFT CARE HOSPITAL,56,91239.35,280.0
APIN MEDICAL LABORATORY AND DIAGNOSTIC COM LTD,55,402600.0,55.0
NSIA KANO DIAGNOSTIC CENTRE,54,594663.0,54.0
BEST CHOICE CLINIC AND MATERNITY,54,97984.0,255.0
De-lens Opthalmics Eye Clinic,53,709537.5,61.0
Standard Hospital & Diagnostic Services,52,28665.4,70.0
FEDERAL MEDICAL CENTER JABI,50,238671.0,201.0
Havana Hospital,49,406982.2,294.0
Ivory Dental Care,49,400000.0,52.0
Magna Eye Care Limited,49,398310.0,85.0
Standard Specialist Hospital Kano,49,103203.29000000001,294.0
Kings Care Hospital Wuse                                     ,46,613217.05,213.0
SPECVISION EYE CARE,46,94150.0,46.0
THELISH EYE CENTRE ABUJA,43,1032500.0,71.0
KAUNA IBJ SPECIALIST,43,192551.0,52.0
Alliance Clinics And Services Ltd,40,1122220.0,97.0
PURE SNOW DENTAL CLINIC,39,155537.5,73311.2
LAGURU HEALTH CLUB,38,60000.0,38.0
XCELL PLUS GYM,35,81000.0,9032.0
THE SHEPHERD MEDICAL CENTRE                                 ,34,228250.0,143.0
HAYMILL SPECIALIST AND DIAGNOSTIC CENRE,34,123038.8,76.0
MEDICHECK HEALTH SCREENING SUITE,34,151462.0,34.0
PRIMEMAX EYECARE,33,377546.5,88.0
LIVINGSTON SPECIALIST HOSPITAL,32,76477.0,245.0
PRIME CARE MULTISPECIALISTS HOSPITAL,32,158214.5,120.0
BORNO MEDICAL CLINIC MAIDUGURI,32,43595.0,297.0
TULSI CHANRAI FOUNDATION  ,31,497000.0,35.0
St Francois Medical Centre,30,119500.0,40.0
Mayday Specialist Hospital & Maternity,30,34198.0,302.0
Subol Hospital                                              ,30,70242.0,239.0
DAZZLE DENTAL CLINICS,28,232000.0,73.0
NIGER OPTICAL ENUGU,28,191552.5,73.0
Royal Orthopaedic Hospital And Medicare,28,422879.4,308.0
LIFE SPECIALIST HOSPITAL LTD NNEWI,28,51172.0,162.0
LIVIASHAMMAH HOSPITALS LTD,28,85961.6,106.0
LEADWAY HEALTH TELEMEDICINE SERVICE,27,13500.0,27.0
Rose Of Sharon Eye Clinic,26,263840.0,59.0
Healing Stripes Hospital,26,87000.0,153.0
D CINDY EYECARE LTD,26,201500.0,53.0
Mgk Healthcare,26,19950.3,14374.2
HORAMA SPECIALIST HOSPITAL LTD,25,136810.0,27.0
BODYROX FITNESS STUDIO,24,72600.0,24.0
DELUXE DENTAL CLINIC,24,68000.0,36.0
Davik Eye Clinic,24,125500.0,33.0
Advantage Health Africa,24,389595.0,6346.0
AHEAD FITNESS,24,66000.0,6022.0
Leadway Eye Clinic,24,219980.0,51.0
Smile360 Dental Specialist                                  ,23,611200.0,23.0
Crystals Eye Care Clinic,23,66775.0,23.0
JENNYGLO HOSPITALS ABUJA,23,70101.42,183.0
VETTA EYE CLINIC,22,190795.0,65526.0
NATIONAL HOSPITAL ABUJA,22,1584064.05,114.0
Garki Hospital,22,169752.0,98.0
Bridge Of Sight Consult Limited,21,216400.0,37.0
SAHAD HOSPITALS,21,56930.25,33.0
ONE HEALTH PHARMACY,21,65900.0,23.0
CRESTVIEW RADIOLOGY IGBOBI(Referrals only),21,125300.5,21.0
REGIS AND REINA HOSPITAL LTD,20,67705.95,37.0
SHUSHAN PHARMACY LTD ABUJA,20,84300.0,67.0
OROFACIAL DENTAL PRACTICE LIMITED,20,378000.0,31.0
Reimbursement,20,911577.9982,220.0
Lagoon Hospitals - Ikeja,20,93845.8,96.0
RACHEL EYE CENTRE,20,103230.0,37.0
Ronnie Diagnostic Center Ltd,19,79340.0,19.0
Med Care Hospitals Ilorin Ltd,19,374572.0,207.0
Osuntuyi Medical Centre Iju,18,34812.69,112.0
MODELCARE HOSPITAL AND CONSULTANCY ABUJA,18,65205.35,50.0
